,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,45,93,539,0.08348794063079777,0.1725417439703154,414
598,18,57,495,0.03636363636363636,0.11515151515151516,599
473,94,131,421,0.22327790973871733,0.31116389548693585,474
447,38,56,372,0.10215053763440861,0.15053763440860216,448
273,88,125,269,0.3271375464684015,0.4646840148698885,274
609,60,86,260,0.23076923076923078,0.33076923076923076,610
67,91,117,252,0.3611111111111111,0.4642857142857143,68
379,62,93,243,0.2551440329218107,0.38271604938271603,380
605,52,70,223,0.23318385650224216,0.31390134529147984,606
287,43,66,211,0.2037914691943128,0.3127962085308057,288
248,92,116,209,0.44019138755980863,0.5550239234449761,249
386,50,69,205,0.24390243902439024,0.33658536585365856,387
181,81,104,195,0.4153846153846154,0.5333333333333333,182
306,67,88,195,0.3435897435897436,0.4512820512820513,307
602,47,63,188,0.25,0.3351063829787234,603
297,47,70,187,0.25133689839572193,0.37433155080213903,298
176,41,69,180,0.22777777777777777,0.38333333333333336,177
317,18,31,175,0.10285714285714286,0.17714285714285713,318
231,62,74,172,0.36046511627906974,0.43023255813953487,232
479,134,151,167,0.8023952095808383,0.9041916167664671,480
607,104,125,166,0.6265060240963856,0.7530120481927711,608
599,77,100,152,0.506578947368421,0.6578947368421053,600
589,77,91,145,0.5310344827586206,0.6275862068965518,590
482,59,73,145,0.4068965517241379,0.503448275862069,483
104,18,26,144,0.125,0.18055555555555555,105
18,63,79,140,0.45,0.5642857142857143,19
304,68,86,135,0.5037037037037037,0.6370370370370371,305
488,97,115,129,0.751937984496124,0.8914728682170543,489
110,39,57,129,0.3023255813953488,0.4418604651162791,111
437,68,78,127,0.5354330708661418,0.6141732283464567,438
216,43,56,122,0.3524590163934426,0.45901639344262296,217
139,36,48,121,0.2975206611570248,0.39669421487603307,140
476,31,46,120,0.25833333333333336,0.38333333333333336,477
554,39,58,115,0.3391304347826087,0.5043478260869565,555
90,20,29,115,0.17391304347826086,0.25217391304347825,91
27,54,72,114,0.47368421052631576,0.631578947368421,28
218,60,70,105,0.5714285714285714,0.6666666666666666,219
533,32,49,104,0.3076923076923077,0.47115384615384615,534
63,53,82,103,0.5145631067961165,0.7961165048543689,64
88,0,0,103,0.0,0.0,89
560,59,80,101,0.5841584158415841,0.7920792079207921,561
225,67,75,101,0.6633663366336634,0.7425742574257426,226
17,25,45,100,0.25,0.45,18
524,62,74,100,0.62,0.74,525
56,37,59,95,0.3894736842105263,0.6210526315789474,57
380,55,61,94,0.5851063829787234,0.648936170212766,381
367,53,66,93,0.5698924731182796,0.7096774193548387,368
508,38,51,93,0.40860215053763443,0.5483870967741935,509
468,69,80,93,0.7419354838709677,0.8602150537634409,469
559,29,41,91,0.31868131868131866,0.45054945054945056,560
461,16,21,91,0.17582417582417584,0.23076923076923078,462
291,46,59,89,0.5168539325842697,0.6629213483146067,292
20,51,64,88,0.5795454545454546,0.7272727272727273,21
41,30,47,88,0.3409090909090909,0.5340909090909091,42
596,47,68,88,0.5340909090909091,0.7727272727272727,597
