,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,2,3,0.4,0.3,610
1,3,6,0.6,0.6,294
2,3,6,0.6,0.6,286
3,3,7,0.6,0.7,298
4,4,9,0.8,0.9,82
5,5,10,1.0,1.0,202
6,0,0,0.0,0.0,341
7,2,5,0.4,0.5,217
8,3,8,0.6,0.8,57
9,2,4,0.4,0.4,21
10,2,3,0.4,0.3,183
11,2,6,0.4,0.6,414
12,5,8,1.0,0.8,483
13,4,8,0.8,0.8,182
14,1,2,0.2,0.2,509
15,3,3,0.6,0.3,125
16,4,7,0.8,0.7,84
17,4,9,0.8,0.9,140
18,5,10,1.0,1.0,117
19,0,0,0.0,0.0,520
20,3,6,0.6,0.6,313
21,3,5,0.6,0.5,443
22,1,1,0.2,0.1,271
23,5,10,1.0,1.0,232
24,3,5,0.6,0.5,131
25,1,3,0.2,0.3,280
26,5,10,1.0,1.0,274
27,2,4,0.4,0.4,590
28,1,2,0.2,0.2,239
29,5,9,1.0,0.9,305
30,2,5,0.4,0.5,525
31,0,0,0.0,0.0,29
32,1,1,0.2,0.1,597
33,4,7,0.8,0.7,372
34,4,6,0.8,0.6,144
35,1,2,0.2,0.2,263
36,4,4,0.8,0.4,168
37,3,5,0.6,0.5,226
38,3,3,0.6,0.3,244
39,3,6,0.6,0.6,249
40,1,2,0.2,0.2,582
41,5,6,1.0,0.6,103
42,4,9,0.8,0.9,68
43,0,0,0.0,0.0,255
44,3,5,0.6,0.5,51
45,1,1,0.2,0.1,223
46,5,10,1.0,1.0,91
47,1,2,0.2,0.2,489
48,0,0,0.0,0.0,116
49,0,2,0.0,0.2,256
50,3,4,0.6,0.4,606
51,1,2,0.2,0.2,402
52,0,3,0.0,0.3,111
53,0,3,0.0,0.3,330
54,3,4,0.6,0.4,603
55,5,9,1.0,0.9,381
56,2,3,0.4,0.3,24
57,5,9,1.0,0.9,105
58,0,0,0.0,0.0,393
59,0,2,0.0,0.2,308
60,2,4,0.4,0.4,266
61,4,4,0.8,0.4,534
62,4,7,0.8,0.7,96
63,2,2,0.4,0.2,453
64,4,8,0.8,0.8,177
65,0,1,0.0,0.1,404
66,2,6,0.4,0.6,41
67,3,3,0.6,0.3,50
68,4,8,0.8,0.8,1
69,1,1,0.2,0.1,48
70,0,2,0.0,0.2,200
71,0,0,0.0,0.0,410
72,2,2,0.4,0.2,332
73,0,1,0.0,0.1,599
74,1,3,0.2,0.3,387
75,0,1,0.0,0.1,89
76,3,5,0.6,0.5,215
77,3,5,0.6,0.5,187
78,0,0,0.0,0.0,432
79,4,9,0.8,0.9,288
80,2,5,0.4,0.5,246
81,3,6,0.6,0.6,4
82,2,5,0.4,0.5,42
83,3,8,0.6,0.8,176
84,0,0,0.0,0.0,342
85,3,5,0.6,0.5,153
86,2,4,0.4,0.4,222
87,1,3,0.2,0.3,477
88,2,5,0.4,0.5,219
89,1,1,0.2,0.1,572
90,0,0,0.0,0.0,544
91,0,0,0.0,0.0,90
92,0,0,0.0,0.0,205
93,5,9,1.0,0.9,235
94,1,2,0.2,0.2,7
95,2,5,0.4,0.5,167
96,1,1,0.2,0.1,356
97,1,1,0.2,0.1,13
98,2,2,0.4,0.2,112
99,3,6,0.6,0.6,45
100,0,0,0.0,0.0,172
101,1,3,0.2,0.3,570
102,1,1,0.2,0.1,257
103,1,5,0.2,0.5,234
104,1,5,0.2,0.5,19
105,2,5,0.4,0.5,292
106,1,4,0.2,0.4,425
107,0,0,0.0,0.0,383
108,0,0,0.0,0.0,405
109,1,3,0.2,0.3,434
110,3,6,0.6,0.6,221
111,5,9,1.0,0.9,18
112,2,3,0.4,0.3,156
113,3,7,0.6,0.7,64
114,2,5,0.4,0.5,46
115,3,5,0.6,0.5,191
116,0,0,0.0,0.0,354
117,2,4,0.4,0.4,76
118,5,10,1.0,1.0,160
119,0,0,0.0,0.0,448
120,2,6,0.4,0.6,199
121,5,9,1.0,0.9,62
122,5,8,1.0,0.8,38
123,0,0,0.0,0.0,318
124,0,0,0.0,0.0,546
125,0,0,0.0,0.0,285
126,1,4,0.2,0.4,335
127,2,3,0.4,0.3,33
128,0,0,0.0,0.0,184
129,0,1,0.0,0.1,357
130,3,6,0.6,0.6,241
131,4,8,0.8,0.8,307
132,4,7,0.8,0.7,198
133,0,0,0.0,0.0,211
134,5,9,1.0,0.9,66
135,4,7,0.8,0.7,474
136,2,3,0.4,0.3,148
137,0,1,0.0,0.1,377
138,2,4,0.4,0.4,78
139,5,9,1.0,0.9,28
140,5,9,1.0,0.9,275
141,2,2,0.4,0.2,93
142,0,0,0.0,0.0,447
143,0,2,0.0,0.2,17
144,3,6,0.6,0.6,40
145,1,2,0.2,0.2,252
146,2,2,0.4,0.2,100
147,0,0,0.0,0.0,101
148,5,10,1.0,1.0,109
149,1,2,0.2,0.2,86
150,0,0,0.0,0.0,304
151,3,7,0.6,0.7,136
152,5,8,1.0,0.8,469
153,4,5,0.8,0.5,186
154,3,6,0.6,0.6,23
155,3,7,0.6,0.7,141
156,5,6,1.0,0.6,573
157,1,2,0.2,0.2,104
158,1,1,0.2,0.1,418
159,5,10,1.0,1.0,233
160,2,3,0.4,0.3,70
161,4,8,0.8,0.8,121
162,4,6,0.8,0.6,600
163,0,0,0.0,0.0,253
164,5,10,1.0,1.0,126
165,2,4,0.4,0.4,129
166,1,1,0.2,0.1,118
167,2,4,0.4,0.4,201
168,0,0,0.0,0.0,564
169,2,2,0.4,0.2,196
170,0,0,0.0,0.0,259
171,3,6,0.6,0.6,380
172,3,4,0.6,0.4,302
173,0,1,0.0,0.1,559
174,5,8,1.0,0.8,8
175,4,5,0.8,0.5,95
176,0,0,0.0,0.0,495
177,0,1,0.0,0.1,514
178,0,1,0.0,0.1,420
179,3,5,0.6,0.5,268
180,4,7,0.8,0.7,279
181,0,1,0.0,0.1,83
182,1,1,0.2,0.1,596
183,1,2,0.2,0.2,428
184,0,0,0.0,0.0,487
185,3,6,0.6,0.6,480
186,5,9,1.0,0.9,229
187,3,4,0.6,0.4,52
188,0,0,0.0,0.0,261
189,5,9,1.0,0.9,94
190,0,0,0.0,0.0,216
191,1,4,0.2,0.4,132
192,0,0,0.0,0.0,461
