,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
26,317,401,1343,0.23603871928518244,0.29858525688756515,274
42,330,387,1257,0.26252983293556087,0.30787589498806683,68
79,334,393,1052,0.31749049429657794,0.373574144486692,288
39,248,341,1043,0.23777564717162034,0.32694151486097794,249
13,339,403,974,0.3480492813141684,0.4137577002053388,182
3,197,235,936,0.21047008547008547,0.25106837606837606,298
64,237,281,901,0.2630410654827969,0.3118756936736959,177
23,325,368,859,0.37834691501746215,0.42840512223515714,232
11,110,150,809,0.13597033374536466,0.18541409147095178,414
73,49,91,743,0.06594885598923284,0.1224764468371467,599
57,199,234,719,0.2767732962447844,0.325452016689847,105
104,214,286,700,0.3057142857142857,0.4085714285714286,19
29,242,279,674,0.3590504451038576,0.413946587537092,305
52,185,251,643,0.28771384136858474,0.39035769828926903,111
135,99,138,632,0.15664556962025317,0.21835443037974683,474
7,127,186,610,0.2081967213114754,0.30491803278688523,217
17,193,231,605,0.31900826446280994,0.38181818181818183,140
46,234,287,572,0.4090909090909091,0.5017482517482518,91
139,118,158,567,0.20811287477954143,0.2786596119929453,28
119,63,99,559,0.11270125223613596,0.1771019677996422,448
88,203,257,525,0.38666666666666666,0.4895238095238095,219
75,59,78,515,0.1145631067961165,0.15145631067961166,89
113,207,244,514,0.4027237354085603,0.47470817120622566,64
37,188,224,504,0.373015873015873,0.4444444444444444,226
111,205,228,499,0.41082164328657317,0.45691382765531063,18
8,231,261,473,0.4883720930232558,0.5517970401691332,57
105,138,165,443,0.3115124153498871,0.3724604966139955,292
9,98,153,440,0.22272727272727272,0.3477272727272727,21
82,165,211,437,0.37757437070938216,0.482837528604119,42
118,155,183,434,0.35714285714285715,0.4216589861751152,160
1,113,144,434,0.26036866359447003,0.3317972350230415,294
5,220,254,400,0.55,0.635,202
140,182,223,400,0.455,0.5575,275
99,177,210,396,0.44696969696969696,0.5303030303030303,45
112,149,184,395,0.37721518987341773,0.46582278481012657,156
0,55,69,390,0.14102564102564102,0.17692307692307693,610
41,135,159,374,0.3609625668449198,0.42513368983957217,103
171,126,160,365,0.3452054794520548,0.4383561643835616,380
121,118,139,363,0.325068870523416,0.38292011019283745,62
120,167,188,360,0.4638888888888889,0.5222222222222223,199
15,84,103,357,0.23529411764705882,0.28851540616246496,125
44,88,125,356,0.24719101123595505,0.351123595505618,51
191,165,205,344,0.4796511627906977,0.5959302325581395,132
134,155,185,342,0.45321637426900585,0.5409356725146199,66
50,72,95,334,0.2155688622754491,0.2844311377245509,606
70,72,102,331,0.2175226586102719,0.3081570996978852,200
110,143,182,328,0.43597560975609756,0.5548780487804879,221
202,172,187,311,0.5530546623794212,0.6012861736334405,6
74,61,89,308,0.19805194805194806,0.288961038961039,387
67,68,91,307,0.22149837133550487,0.2964169381107492,50
131,104,130,292,0.3561643835616438,0.4452054794520548,307
16,106,126,290,0.36551724137931035,0.43448275862068964,84
242,123,144,289,0.42560553633217996,0.4982698961937716,122
54,63,87,282,0.22340425531914893,0.30851063829787234,603
232,122,144,276,0.4420289855072464,0.5217391304347826,135
28,67,93,276,0.2427536231884058,0.33695652173913043,239
157,87,118,270,0.32222222222222224,0.43703703703703706,104
243,171,203,268,0.6380597014925373,0.7574626865671642,63
224,129,152,266,0.4849624060150376,0.5714285714285714,169
223,128,151,264,0.48484848484848486,0.571969696969697,290
123,31,46,263,0.11787072243346007,0.17490494296577946,318
77,82,101,255,0.3215686274509804,0.396078431372549,187
185,153,180,250,0.612,0.72,480
214,94,136,249,0.37751004016064255,0.5461847389558233,608
86,47,64,247,0.1902834008097166,0.2591093117408907,222
323,98,114,245,0.4,0.46530612244897956,212
241,84,117,239,0.3514644351464435,0.4895397489539749,20
225,91,117,234,0.3888888888888889,0.5,282
68,112,127,229,0.4890829694323144,0.5545851528384279,1
162,106,138,228,0.4649122807017544,0.6052631578947368,600
132,99,132,227,0.43612334801762115,0.5814977973568282,198
4,107,145,224,0.47767857142857145,0.6473214285714286,82
153,97,136,223,0.4349775784753363,0.6098654708520179,186
27,90,125,218,0.41284403669724773,0.573394495412844,590
12,92,108,218,0.42201834862385323,0.4954128440366973,483
66,145,159,214,0.677570093457944,0.7429906542056075,41
81,56,93,213,0.26291079812206575,0.43661971830985913,4
150,79,102,213,0.37089201877934275,0.4788732394366197,304
205,78,100,212,0.36792452830188677,0.4716981132075472,119
195,128,144,207,0.6183574879227053,0.6956521739130435,73
35,56,80,207,0.27053140096618356,0.3864734299516908,263
220,86,100,204,0.4215686274509804,0.49019607843137253,220
80,29,51,201,0.14427860696517414,0.2537313432835821,246
103,67,85,199,0.33668341708542715,0.4271356783919598,234
47,108,123,194,0.5567010309278351,0.634020618556701,489
25,44,55,193,0.22797927461139897,0.2849740932642487,280
277,107,131,191,0.5602094240837696,0.6858638743455497,139
312,74,98,190,0.3894736842105263,0.5157894736842106,438
329,121,135,187,0.6470588235294118,0.7219251336898396,166
228,84,102,184,0.45652173913043476,0.5543478260869565,195
87,69,98,180,0.38333333333333336,0.5444444444444444,477
60,45,67,177,0.2542372881355932,0.3785310734463277,266
85,90,106,176,0.5113636363636364,0.6022727272727273,153
249,51,72,174,0.29310344827586204,0.41379310344827586,74
244,64,80,173,0.3699421965317919,0.4624277456647399,555
180,108,122,173,0.6242774566473989,0.7052023121387283,279
49,52,71,171,0.30409356725146197,0.4152046783625731,256
95,75,100,170,0.4411764705882353,0.5882352941176471,167
175,72,86,165,0.43636363636363634,0.5212121212121212,95
155,95,109,165,0.5757575757575758,0.6606060606060606,141
362,11,20,164,0.06707317073170732,0.12195121951219512,80
18,139,143,162,0.8580246913580247,0.8827160493827161,117
190,66,88,161,0.40993788819875776,0.546583850931677,216
283,64,79,160,0.4,0.49375,265
61,55,76,156,0.3525641025641026,0.48717948717948717,534
127,61,73,153,0.39869281045751637,0.477124183006536,33
297,86,105,151,0.5695364238410596,0.695364238410596,561
30,95,113,150,0.6333333333333333,0.7533333333333333,525
94,78,96,149,0.5234899328859061,0.6442953020134228,7
268,65,80,149,0.436241610738255,0.5369127516778524,260
439,59,77,149,0.3959731543624161,0.5167785234899329,287
159,93,102,147,0.6326530612244898,0.6938775510204082,233
260,124,133,147,0.8435374149659864,0.9047619047619048,247
354,37,47,147,0.25170068027210885,0.3197278911564626,113
146,79,105,145,0.5448275862068965,0.7241379310344828,100
55,78,92,142,0.5492957746478874,0.647887323943662,381
14,53,74,140,0.37857142857142856,0.5285714285714286,509
193,64,88,140,0.45714285714285713,0.6285714285714286,368
152,93,110,139,0.6690647482014388,0.7913669064748201,469
276,79,90,138,0.572463768115942,0.6521739130434783,137
227,59,72,137,0.4306569343065693,0.5255474452554745,10
235,54,76,137,0.39416058394160586,0.5547445255474452,47
207,54,74,137,0.39416058394160586,0.5401459854014599,560
165,96,114,137,0.7007299270072993,0.8321167883211679,129
221,61,72,136,0.4485294117647059,0.5294117647058824,230
322,25,37,136,0.18382352941176472,0.27205882352941174,462
212,45,65,135,0.3333333333333333,0.48148148148148145,210
32,77,99,132,0.5833333333333334,0.75,597
393,21,28,132,0.1590909090909091,0.21212121212121213,15
237,61,77,132,0.4621212121212121,0.5833333333333334,27
128,22,28,131,0.16793893129770993,0.21374045801526717,184
321,54,70,130,0.4153846153846154,0.5384615384615384,580
187,71,79,127,0.5590551181102362,0.6220472440944882,52
179,60,75,126,0.47619047619047616,0.5952380952380952,268
34,88,99,125,0.704,0.792,144
291,91,94,125,0.728,0.752,240
148,84,87,124,0.6774193548387096,0.7016129032258065,109
302,30,37,124,0.24193548387096775,0.29838709677419356,254
182,18,31,123,0.14634146341463414,0.25203252032520324,596
494,42,57,120,0.35,0.475,517
177,26,38,119,0.2184873949579832,0.31932773109243695,514
154,59,71,118,0.5,0.6016949152542372,23
286,17,25,116,0.14655172413793102,0.21551724137931033,22
117,64,71,116,0.5517241379310345,0.6120689655172413,76
344,28,39,115,0.24347826086956523,0.3391304347826087,567
181,31,41,115,0.26956521739130435,0.3565217391304348,83
222,68,80,115,0.591304347826087,0.6956521739130435,391
410,82,87,115,0.7130434782608696,0.7565217391304347,181
129,47,65,114,0.41228070175438597,0.5701754385964912,357
360,72,79,111,0.6486486486486487,0.7117117117117117,43
273,31,47,111,0.27927927927927926,0.42342342342342343,301
266,51,64,111,0.4594594594594595,0.5765765765765766,339
425,103,105,109,0.944954128440367,0.963302752293578,58
311,61,75,109,0.5596330275229358,0.6880733944954128,115
151,84,87,108,0.7777777777777778,0.8055555555555556,136
167,68,80,107,0.6355140186915887,0.7476635514018691,201
56,51,64,107,0.4766355140186916,0.5981308411214953,24
300,49,63,104,0.47115384615384615,0.6057692307692307,59
2,69,77,103,0.6699029126213593,0.7475728155339806,286
20,63,72,102,0.6176470588235294,0.7058823529411765,313
143,49,58,102,0.4803921568627451,0.5686274509803921,17
144,77,82,100,0.77,0.82,40
257,55,66,99,0.5555555555555556,0.6666666666666666,32
475,55,64,97,0.5670103092783505,0.6597938144329897,39
278,44,52,95,0.4631578947368421,0.5473684210526316,16
76,45,54,95,0.47368421052631576,0.5684210526315789,215
141,28,39,94,0.2978723404255319,0.4148936170212766,93
457,65,71,94,0.6914893617021277,0.7553191489361702,159
63,47,63,93,0.5053763440860215,0.6774193548387096,453
265,63,73,91,0.6923076923076923,0.8021978021978022,227
36,46,57,91,0.5054945054945055,0.6263736263736264,168
106,43,61,91,0.4725274725274725,0.6703296703296703,425
38,32,45,90,0.35555555555555557,0.5,244
183,56,64,90,0.6222222222222222,0.7111111111111111,428
156,63,71,89,0.7078651685393258,0.797752808988764,573
350,42,60,89,0.47191011235955055,0.6741573033707865,98
196,51,63,88,0.5795454545454546,0.7159090909090909,352
347,8,17,87,0.09195402298850575,0.19540229885057472,382
96,63,68,86,0.7325581395348837,0.7906976744186046,356
133,20,32,86,0.23255813953488372,0.37209302325581395,211
318,72,72,85,0.8470588235294118,0.8470588235294118,284
48,21,35,84,0.25,0.4166666666666667,116
368,16,25,83,0.1927710843373494,0.30120481927710846,365
361,49,57,83,0.5903614457831325,0.6867469879518072,34
115,51,55,82,0.6219512195121951,0.6707317073170732,191
445,13,25,82,0.15853658536585366,0.3048780487804878,484
234,29,39,81,0.35802469135802467,0.48148148148148145,325
319,5,10,81,0.06172839506172839,0.12345679012345678,213
239,3,8,80,0.0375,0.1,204
72,38,44,80,0.475,0.55,332
346,46,52,79,0.5822784810126582,0.6582278481012658,171
176,26,37,79,0.3291139240506329,0.46835443037974683,495
31,15,27,78,0.19230769230769232,0.34615384615384615,29
78,43,46,78,0.5512820512820513,0.5897435897435898,432
261,62,67,76,0.8157894736842105,0.881578947368421,328
62,55,61,75,0.7333333333333333,0.8133333333333334,96
122,72,74,75,0.96,0.9866666666666667,38
53,59,69,74,0.7972972972972973,0.9324324324324325,330
379,10,20,74,0.13513513513513514,0.2702702702702703,178
226,18,21,73,0.2465753424657534,0.2876712328767123,108
130,37,47,73,0.5068493150684932,0.6438356164383562,241
45,17,27,72,0.2361111111111111,0.375,223
436,39,47,72,0.5416666666666666,0.6527777777777778,225
33,35,42,70,0.5,0.6,372
426,38,49,69,0.5507246376811594,0.7101449275362319,594
308,25,37,69,0.36231884057971014,0.5362318840579711,562
357,33,42,69,0.4782608695652174,0.6086956521739131,297
109,63,67,69,0.9130434782608695,0.9710144927536232,434
370,15,21,68,0.22058823529411764,0.3088235294117647,143
116,48,62,67,0.7164179104477612,0.9253731343283582,354
149,16,22,67,0.23880597014925373,0.3283582089552239,86
328,32,43,66,0.48484848484848486,0.6515151515151515,312
288,16,22,66,0.24242424242424243,0.3333333333333333,605
