,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,3,3,0.6,0.3,429
1,0,0,0.0,0.0,107
2,2,3,0.4,0.3,191
3,0,0,0.0,0.0,99
4,2,5,0.4,0.5,54
5,1,1,0.2,0.1,35
6,5,7,1.0,0.7,468
7,4,5,0.8,0.5,353
8,3,4,0.6,0.4,40
9,3,3,0.6,0.3,604
10,3,4,0.6,0.4,145
11,5,6,1.0,0.6,136
12,4,5,0.8,0.5,130
13,2,4,0.4,0.4,444
14,4,7,0.8,0.7,284
15,1,2,0.2,0.2,536
16,3,6,0.6,0.6,134
17,3,5,0.6,0.5,436
18,4,6,0.8,0.6,242
19,5,8,1.0,0.8,314
20,3,4,0.6,0.4,574
21,5,7,1.0,0.7,385
22,1,2,0.2,0.2,349
23,3,5,0.6,0.5,46
24,4,6,0.8,0.6,584
25,4,6,0.8,0.6,476
26,2,2,0.4,0.2,192
27,1,3,0.2,0.3,14
28,5,6,1.0,0.6,411
29,2,5,0.4,0.5,541
30,2,2,0.4,0.2,273
31,2,3,0.4,0.3,56
32,3,6,0.6,0.6,102
33,3,5,0.6,0.5,455
34,1,2,0.2,0.2,162
35,2,4,0.4,0.4,229
36,4,4,0.8,0.4,26
37,4,6,0.8,0.6,447
38,0,0,0.0,0.0,243
39,4,7,0.8,0.7,592
40,2,4,0.4,0.4,485
41,2,3,0.4,0.3,404
42,4,7,0.8,0.7,142
43,2,2,0.4,0.2,507
44,4,5,0.8,0.5,394
45,4,6,0.8,0.6,498
46,5,6,1.0,0.6,588
47,3,3,0.6,0.3,8
48,3,5,0.6,0.5,486
49,3,6,0.6,0.6,176
50,0,1,0.0,0.1,262
51,3,4,0.6,0.4,170
52,3,6,0.6,0.6,602
53,2,4,0.4,0.4,179
54,4,7,0.8,0.7,109
55,4,6,0.8,0.6,38
56,5,8,1.0,0.8,235
57,3,6,0.6,0.6,512
58,1,2,0.2,0.2,395
59,3,4,0.6,0.4,386
60,3,6,0.6,0.6,321
61,1,2,0.2,0.2,530
62,2,4,0.4,0.4,173
63,3,5,0.6,0.5,94
64,3,5,0.6,0.5,133
65,4,8,0.8,0.8,446
66,4,6,0.8,0.6,117
67,3,6,0.6,0.6,501
68,4,5,0.8,0.5,37
69,2,3,0.4,0.3,81
70,3,5,0.6,0.5,181
71,3,4,0.6,0.4,559
72,4,8,0.8,0.8,6
73,4,5,0.8,0.5,458
74,5,7,1.0,0.7,126
75,3,5,0.6,0.5,565
76,3,4,0.6,0.4,373
77,0,2,0.0,0.2,609
78,2,4,0.4,0.4,379
79,4,4,0.8,0.4,5
80,4,6,0.8,0.6,347
81,3,6,0.6,0.6,121
82,5,8,1.0,0.8,58
83,4,6,0.8,0.6,174
84,0,0,0.0,0.0,340
85,4,6,0.8,0.6,43
86,2,4,0.4,0.4,566
87,4,6,0.8,0.6,470
88,3,5,0.6,0.5,374
89,5,7,1.0,0.7,240
90,3,5,0.6,0.5,569
91,1,2,0.2,0.2,402
92,3,5,0.6,0.5,31
93,4,5,0.8,0.5,544
94,5,7,1.0,0.7,206
95,3,3,0.6,0.3,269
96,4,7,0.8,0.7,524
97,3,3,0.6,0.3,521
98,5,7,1.0,0.7,270
99,3,5,0.6,0.5,214
100,4,7,0.8,0.7,451
101,3,5,0.6,0.5,150
102,3,5,0.6,0.5,302
103,4,5,0.8,0.5,529
104,3,4,0.6,0.4,151
105,0,1,0.0,0.1,589
106,2,3,0.4,0.3,90
107,5,9,1.0,0.9,32
108,3,3,0.6,0.3,456
109,1,5,0.2,0.5,84
110,5,7,1.0,0.7,389
111,2,3,0.4,0.3,276
112,4,7,0.8,0.7,437
