,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,544,549,2695,0.20185528756957327,0.20371057513914656,414
564,470,481,2475,0.1898989898989899,0.19434343434343435,599
195,401,422,2105,0.19049881235154395,0.2004750593824228,474
228,279,329,1861,0.14991939817302524,0.1767866738312735,448
321,301,339,1343,0.22412509307520476,0.2524199553239017,274
543,148,181,1299,0.11393379522709776,0.13933795227097767,610
307,386,413,1257,0.30708035003977724,0.32856006364359586,68
556,253,290,1215,0.20823045267489712,0.23868312757201646,380
322,227,265,1112,0.20413669064748202,0.2383093525179856,606
206,309,334,1052,0.29372623574144485,0.31749049429657794,288
438,162,209,1043,0.15532118887823587,0.20038350910834132,249
268,219,259,1024,0.2138671875,0.2529296875,387
256,271,298,974,0.2782340862422998,0.3059548254620123,182
333,256,290,972,0.26337448559670784,0.29835390946502055,307
165,222,267,940,0.23617021276595745,0.28404255319148936,603
506,133,180,936,0.1420940170940171,0.19230769230769232,298
483,199,264,901,0.22086570477247502,0.293007769145394,177
364,120,173,876,0.136986301369863,0.19748858447488585,318
261,116,158,859,0.1350407450523865,0.1839348079161816,232
327,262,311,833,0.31452581032412963,0.37334933973589435,480
289,292,320,828,0.3526570048309179,0.3864734299516908,608
371,215,261,760,0.28289473684210525,0.34342105263157896,600
325,225,268,725,0.3103448275862069,0.3696551724137931,483
380,258,296,725,0.35586206896551725,0.40827586206896554,590
500,102,129,719,0.14186369958275383,0.17941585535465926,105
181,226,258,700,0.32285714285714284,0.36857142857142855,19
525,128,173,674,0.18991097922848665,0.25667655786350146,305
427,213,260,645,0.3302325581395349,0.40310077519379844,489
582,80,118,643,0.12441679626749612,0.18351477449455678,111
273,162,208,632,0.2563291139240506,0.3291139240506329,438
166,170,213,610,0.2786885245901639,0.34918032786885245,217
149,143,185,605,0.23636363636363636,0.30578512396694213,140
342,187,222,597,0.3132328308207705,0.37185929648241206,477
207,180,215,575,0.3130434782608696,0.3739130434782609,555
288,221,253,572,0.38636363636363635,0.4423076923076923,91
367,129,157,567,0.2275132275132275,0.2768959435626102,28
339,158,201,525,0.30095238095238097,0.38285714285714284,219
524,82,126,517,0.15860735009671179,0.2437137330754352,534
587,44,60,515,0.0854368932038835,0.11650485436893204,89
311,217,256,514,0.42217898832684825,0.4980544747081712,64
269,167,201,504,0.33134920634920634,0.39880952380952384,226
554,156,192,502,0.3107569721115538,0.38247011952191234,561
518,132,163,499,0.26452905811623245,0.32665330661322645,18
541,126,157,497,0.2535211267605634,0.3158953722334004,525
182,199,237,473,0.42071881606765327,0.5010570824524313,57
316,139,177,471,0.2951167728237792,0.37579617834394907,381
