,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,45,70,539,0.08348794063079777,0.12987012987012986,414
598,30,49,495,0.06060606060606061,0.09898989898989899,599
473,22,56,421,0.052256532066508314,0.1330166270783848,474
447,32,53,372,0.08602150537634409,0.1424731182795699,448
273,31,44,269,0.11524163568773234,0.16356877323420074,274
609,28,44,260,0.1076923076923077,0.16923076923076924,610
67,22,31,252,0.0873015873015873,0.12301587301587301,68
379,50,68,243,0.205761316872428,0.27983539094650206,380
605,19,32,223,0.08520179372197309,0.14349775784753363,606
287,9,25,211,0.04265402843601896,0.11848341232227488,288
248,35,48,209,0.1674641148325359,0.22966507177033493,249
386,10,26,205,0.04878048780487805,0.12682926829268293,387
306,6,13,195,0.03076923076923077,0.06666666666666667,307
181,11,20,195,0.05641025641025641,0.10256410256410256,182
602,11,24,188,0.05851063829787234,0.1276595744680851,603
297,12,22,187,0.06417112299465241,0.11764705882352941,298
176,10,19,180,0.05555555555555555,0.10555555555555556,177
317,11,17,175,0.06285714285714286,0.09714285714285714,318
231,12,16,172,0.06976744186046512,0.09302325581395349,232
479,7,14,167,0.041916167664670656,0.08383233532934131,480
607,11,14,166,0.06626506024096386,0.08433734939759036,608
599,9,19,152,0.05921052631578947,0.125,600
589,10,13,145,0.06896551724137931,0.0896551724137931,590
482,11,22,145,0.07586206896551724,0.15172413793103448,483
104,2,5,144,0.013888888888888888,0.034722222222222224,105
18,1,1,140,0.007142857142857143,0.007142857142857143,19
304,14,20,135,0.1037037037037037,0.14814814814814814,305
110,22,27,129,0.17054263565891473,0.20930232558139536,111
488,7,13,129,0.05426356589147287,0.10077519379844961,489
437,16,24,127,0.12598425196850394,0.1889763779527559,438
216,8,12,122,0.06557377049180328,0.09836065573770492,217
139,16,21,121,0.1322314049586777,0.17355371900826447,140
476,8,19,120,0.06666666666666667,0.15833333333333333,477
554,1,3,115,0.008695652173913044,0.02608695652173913,555
90,9,13,115,0.0782608695652174,0.11304347826086956,91
27,9,10,114,0.07894736842105263,0.08771929824561403,28
218,20,26,105,0.19047619047619047,0.24761904761904763,219
533,35,50,104,0.33653846153846156,0.4807692307692308,534
63,4,10,103,0.038834951456310676,0.0970873786407767,64
88,14,22,103,0.13592233009708737,0.21359223300970873,89
225,10,13,101,0.09900990099009901,0.12871287128712872,226
560,13,20,101,0.12871287128712872,0.19801980198019803,561
524,4,11,100,0.04,0.11,525
17,9,20,100,0.09,0.2,18
56,10,14,95,0.10526315789473684,0.14736842105263157,57
380,9,16,94,0.09574468085106383,0.1702127659574468,381
508,14,23,93,0.15053763440860216,0.24731182795698925,509
468,4,5,93,0.043010752688172046,0.053763440860215055,469
367,9,19,93,0.0967741935483871,0.20430107526881722,368
461,6,9,91,0.06593406593406594,0.0989010989010989,462
559,4,8,91,0.04395604395604396,0.08791208791208792,560
291,19,31,89,0.21348314606741572,0.34831460674157305,292
596,0,1,88,0.0,0.011363636363636364,597
41,3,6,88,0.03409090909090909,0.06818181818181818,42
20,20,29,88,0.22727272727272727,0.32954545454545453,21
159,10,16,87,0.11494252873563218,0.1839080459770115,160
293,0,0,87,0.0,0.0,294
579,13,22,87,0.14942528735632185,0.25287356321839083,580
595,8,10,82,0.0975609756097561,0.12195121951219512,596
516,8,16,80,0.1,0.2,517
274,5,7,80,0.0625,0.0875,275
201,4,7,80,0.05,0.0875,202
513,2,4,79,0.02531645569620253,0.05063291139240506,514
155,17,22,79,0.21518987341772153,0.27848101265822783,156
44,1,8,79,0.012658227848101266,0.10126582278481013,45
566,10,10,77,0.12987012987012986,0.12987012987012986,567
390,1,3,77,0.012987012987012988,0.03896103896103896,391
356,7,8,76,0.09210526315789473,0.10526315789473684,357
102,5,10,75,0.06666666666666667,0.13333333333333333,103
338,8,12,74,0.10810810810810811,0.16216216216216217,339
61,9,16,73,0.1232876712328767,0.2191780821917808,62
198,6,14,72,0.08333333333333333,0.19444444444444445,199
124,1,5,72,0.013888888888888888,0.06944444444444445,125
50,4,11,71,0.056338028169014086,0.15492957746478872,51
65,1,7,69,0.014492753623188406,0.10144927536231885,66
131,5,9,69,0.07246376811594203,0.13043478260869565,132
312,3,5,68,0.04411764705882353,0.07352941176470588,313
220,6,12,66,0.09090909090909091,0.18181818181818182,221
199,7,11,66,0.10606060606060606,0.16666666666666666,200
49,2,5,62,0.03225806451612903,0.08064516129032258,50
5,3,6,62,0.04838709677419355,0.0967741935483871,6
452,1,5,62,0.016129032258064516,0.08064516129032258,453
424,8,13,61,0.13114754098360656,0.21311475409836064,425
427,7,12,60,0.11666666666666667,0.2,428
572,15,20,59,0.2542372881355932,0.3389830508474576,573
83,3,7,58,0.05172413793103448,0.1206896551724138,84
381,15,20,58,0.25862068965517243,0.3448275862068966,382
121,3,6,58,0.05172413793103448,0.10344827586206896,122
351,6,10,58,0.10344827586206896,0.1724137931034483,352
355,3,5,57,0.05263157894736842,0.08771929824561403,356
238,8,10,55,0.14545454545454545,0.18181818181818182,239
134,7,10,55,0.12727272727272726,0.18181818181818182,135
364,6,11,55,0.10909090909090909,0.2,365
483,4,10,55,0.07272727272727272,0.18181818181818182,484
103,8,12,54,0.14814814814814814,0.2222222222222222,104
324,7,8,54,0.12962962962962962,0.14814814814814814,325
62,6,10,54,0.1111111111111111,0.18518518518518517,63
494,0,2,53,0.0,0.03773584905660377,495
331,5,11,53,0.09433962264150944,0.20754716981132076,332
289,4,7,53,0.07547169811320754,0.1320754716981132,290
168,5,6,53,0.09433962264150944,0.11320754716981132,169
431,8,12,52,0.15384615384615385,0.23076923076923078,432
327,8,9,51,0.1568627450980392,0.17647058823529413,328
186,6,9,51,0.11764705882352941,0.17647058823529413,187
221,2,5,50,0.04,0.1,222
211,3,6,49,0.061224489795918366,0.12244897959183673,212
329,0,3,49,0.0,0.061224489795918366,330
19,9,11,48,0.1875,0.22916666666666666,20
281,2,7,47,0.0425531914893617,0.14893617021276595,282
371,3,7,47,0.06382978723404255,0.14893617021276595,372
0,1,1,46,0.021739130434782608,0.021739130434782608,1
197,2,3,46,0.043478260869565216,0.06521739130434782,198
593,5,10,46,0.10869565217391304,0.21739130434782608,594
433,3,6,46,0.06521739130434782,0.13043478260869565,434
561,2,3,46,0.043478260869565216,0.06521739130434782,562
81,12,14,45,0.26666666666666666,0.3111111111111111,82
353,2,5,45,0.044444444444444446,0.1111111111111111,354
185,10,14,45,0.2222222222222222,0.3111111111111111,186
311,0,0,44,0.0,0.0,312
604,16,20,44,0.36363636363636365,0.45454545454545453,605
40,2,2,43,0.046511627906976744,0.046511627906976744,41
303,1,4,43,0.023255813953488372,0.09302325581395349,304
118,7,7,43,0.16279069767441862,0.16279069767441862,119
3,6,10,43,0.13953488372093023,0.23255813953488372,4
562,8,12,42,0.19047619047619047,0.2857142857142857,563
262,4,7,42,0.09523809523809523,0.16666666666666666,263
72,3,4,42,0.07142857142857142,0.09523809523809523,73
585,9,13,41,0.21951219512195122,0.3170731707317073,586
219,8,12,41,0.1951219512195122,0.2926829268292683,220
245,5,9,40,0.125,0.225,246
451,5,6,40,0.125,0.15,452
521,0,0,40,0.0,0.0,522
233,1,5,40,0.025,0.125,234
384,1,3,40,0.025,0.075,385
279,6,12,39,0.15384615384615385,0.3076923076923077,280
165,4,9,38,0.10526315789473684,0.23684210526315788,166
569,5,8,38,0.13157894736842105,0.21052631578947367,570
138,9,14,38,0.23684210526315788,0.3684210526315789,139
194,2,5,37,0.05405405405405406,0.13513513513513514,195
551,4,6,37,0.10810810810810811,0.16216216216216217,552
316,8,12,37,0.21621621621621623,0.32432432432432434,317
519,5,8,37,0.13513513513513514,0.21621621621621623,520
366,0,3,37,0.0,0.08108108108108109,367
606,1,2,37,0.02702702702702703,0.05405405405405406,607
265,4,4,36,0.1111111111111111,0.1111111111111111,266
478,2,6,36,0.05555555555555555,0.16666666666666666,479
152,1,2,35,0.02857142857142857,0.05714285714285714,153
73,7,12,35,0.2,0.34285714285714286,74
278,4,7,35,0.11428571428571428,0.2,279
166,3,4,34,0.08823529411764706,0.11764705882352941,167
255,5,6,34,0.14705882352941177,0.17647058823529413,256
79,2,6,33,0.06060606060606061,0.18181818181818182,80
526,5,12,33,0.15151515151515152,0.36363636363636365,527
586,2,3,33,0.06060606060606061,0.09090909090909091,587
94,0,1,33,0.0,0.030303030303030304,95
140,4,6,33,0.12121212121212122,0.18181818181818182,141
330,2,5,33,0.06060606060606061,0.15151515151515152,331
116,2,3,33,0.06060606060606061,0.09090909090909091,117
409,4,4,33,0.12121212121212122,0.12121212121212122,410
264,4,5,32,0.125,0.15625,265
215,2,5,32,0.0625,0.15625,216
345,3,7,32,0.09375,0.21875,346
576,4,5,32,0.125,0.15625,577
418,3,7,31,0.0967741935483871,0.22580645161290322,419
