,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,0,0,0.0,0.0,610
1,3,4,0.6,0.4,294
2,0,0,0.0,0.0,286
3,1,2,0.2,0.2,298
4,0,2,0.0,0.2,82
5,0,0,0.0,0.0,202
6,0,0,0.0,0.0,341
7,2,2,0.4,0.2,217
8,0,0,0.0,0.0,57
9,3,4,0.6,0.4,21
10,0,2,0.0,0.2,183
11,1,2,0.2,0.2,414
12,0,0,0.0,0.0,483
13,1,3,0.2,0.3,182
14,0,0,0.0,0.0,509
15,0,0,0.0,0.0,125
16,0,0,0.0,0.0,84
17,1,1,0.2,0.1,140
18,0,0,0.0,0.0,117
19,0,0,0.0,0.0,520
20,0,0,0.0,0.0,313
21,0,1,0.0,0.1,443
22,0,0,0.0,0.0,271
23,1,1,0.2,0.1,232
24,0,0,0.0,0.0,131
25,0,1,0.0,0.1,280
26,1,2,0.2,0.2,274
27,0,0,0.0,0.0,590
28,0,0,0.0,0.0,239
29,1,2,0.2,0.2,305
30,1,1,0.2,0.1,525
31,0,0,0.0,0.0,29
32,0,0,0.0,0.0,597
33,0,0,0.0,0.0,372
34,1,1,0.2,0.1,144
35,0,0,0.0,0.0,263
36,0,0,0.0,0.0,168
37,0,0,0.0,0.0,226
38,0,0,0.0,0.0,244
39,1,1,0.2,0.1,249
40,0,0,0.0,0.0,582
41,0,0,0.0,0.0,103
42,1,3,0.2,0.3,68
43,0,0,0.0,0.0,255
44,0,0,0.0,0.0,51
45,0,0,0.0,0.0,223
46,1,2,0.2,0.2,91
47,0,0,0.0,0.0,489
48,0,1,0.0,0.1,116
49,1,1,0.2,0.1,256
50,0,1,0.0,0.1,606
51,0,0,0.0,0.0,402
52,0,0,0.0,0.0,111
53,0,0,0.0,0.0,330
54,0,0,0.0,0.0,603
55,0,0,0.0,0.0,381
56,0,0,0.0,0.0,24
57,1,1,0.2,0.1,105
58,1,1,0.2,0.1,393
59,0,0,0.0,0.0,308
60,0,0,0.0,0.0,266
61,1,2,0.2,0.2,534
62,0,0,0.0,0.0,96
63,0,0,0.0,0.0,453
64,1,1,0.2,0.1,177
