,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
26,55,114,1343,0.04095309009679821,0.08488458674609084,274
42,75,123,1257,0.059665871121718374,0.09785202863961814,68
79,99,164,1052,0.094106463878327,0.155893536121673,288
39,85,148,1043,0.08149568552253116,0.14189837008628955,249
13,42,73,974,0.043121149897330596,0.07494866529774127,182
3,40,77,936,0.042735042735042736,0.08226495726495726,298
64,49,86,901,0.05438401775804662,0.09544950055493896,177
23,88,143,859,0.10244470314318975,0.16647264260768335,232
11,67,107,809,0.08281829419035847,0.13226205191594562,414
73,30,64,743,0.040376850605652756,0.08613728129205922,599
57,49,88,719,0.06815020862308763,0.12239221140472879,105
104,29,63,700,0.041428571428571426,0.09,19
29,64,104,674,0.09495548961424333,0.1543026706231454,305
52,29,52,643,0.04510108864696734,0.08087091757387248,111
135,35,79,632,0.055379746835443035,0.125,474
7,35,58,610,0.05737704918032787,0.09508196721311475,217
17,57,93,605,0.09421487603305785,0.1537190082644628,140
46,54,88,572,0.0944055944055944,0.15384615384615385,91
139,60,94,567,0.10582010582010581,0.1657848324514991,28
119,46,79,559,0.08228980322003578,0.1413237924865832,448
88,107,143,525,0.2038095238095238,0.2723809523809524,219
75,69,106,515,0.13398058252427184,0.2058252427184466,89
113,43,66,514,0.08365758754863813,0.12840466926070038,64
37,23,38,504,0.04563492063492063,0.07539682539682539,226
111,82,116,499,0.16432865731462926,0.23246492985971945,18
8,36,61,473,0.07610993657505286,0.12896405919661733,57
105,6,17,443,0.013544018058690745,0.03837471783295711,292
9,88,138,440,0.2,0.31363636363636366,21
82,13,22,437,0.029748283752860413,0.05034324942791762,42
118,61,91,434,0.14055299539170507,0.20967741935483872,160
1,52,79,434,0.11981566820276497,0.18202764976958524,294
5,43,74,400,0.1075,0.185,202
140,27,61,400,0.0675,0.1525,275
99,39,63,396,0.09848484848484848,0.1590909090909091,45
112,21,32,395,0.053164556962025315,0.0810126582278481,156
0,26,42,390,0.06666666666666667,0.1076923076923077,610
41,31,55,374,0.08288770053475936,0.14705882352941177,103
171,68,98,365,0.1863013698630137,0.2684931506849315,380
121,10,17,363,0.027548209366391185,0.046831955922865015,62
120,23,40,360,0.06388888888888888,0.1111111111111111,199
15,15,25,357,0.04201680672268908,0.0700280112044818,125
44,9,12,356,0.025280898876404494,0.033707865168539325,51
191,18,23,344,0.05232558139534884,0.06686046511627906,132
134,18,34,342,0.05263157894736842,0.09941520467836257,66
50,33,53,334,0.09880239520958084,0.15868263473053892,606
70,18,31,331,0.054380664652567974,0.09365558912386707,200
110,11,22,328,0.03353658536585366,0.06707317073170732,221
202,8,17,311,0.02572347266881029,0.05466237942122187,6
74,14,40,308,0.045454545454545456,0.12987012987012986,387
67,13,22,307,0.04234527687296417,0.07166123778501629,50
131,13,20,292,0.04452054794520548,0.0684931506849315,307
16,9,16,290,0.03103448275862069,0.05517241379310345,84
242,19,26,289,0.0657439446366782,0.08996539792387544,122
54,29,45,282,0.10283687943262411,0.1595744680851064,603
232,40,51,276,0.14492753623188406,0.18478260869565216,135
28,14,20,276,0.050724637681159424,0.07246376811594203,239
157,44,65,270,0.16296296296296298,0.24074074074074073,104
243,33,59,268,0.12313432835820895,0.22014925373134328,63
224,37,55,266,0.13909774436090225,0.20676691729323307,169
223,29,37,264,0.10984848484848485,0.14015151515151514,290
123,18,28,263,0.06844106463878327,0.10646387832699619,318
77,13,29,255,0.050980392156862744,0.11372549019607843,187
185,10,21,250,0.04,0.084,480
214,20,24,249,0.08032128514056225,0.0963855421686747,608
86,25,48,247,0.10121457489878542,0.19433198380566802,222
323,13,24,245,0.053061224489795916,0.09795918367346938,212
241,36,45,239,0.1506276150627615,0.18828451882845187,20
225,13,27,234,0.05555555555555555,0.11538461538461539,282
68,35,55,229,0.15283842794759825,0.24017467248908297,1
162,15,31,228,0.06578947368421052,0.13596491228070176,600
132,11,25,227,0.048458149779735685,0.11013215859030837,198
4,19,35,224,0.08482142857142858,0.15625,82
153,37,60,223,0.16591928251121077,0.26905829596412556,186
27,11,21,218,0.05045871559633028,0.0963302752293578,590
12,13,33,218,0.05963302752293578,0.15137614678899083,483
66,19,36,214,0.08878504672897196,0.16822429906542055,41
81,6,14,213,0.028169014084507043,0.06572769953051644,4
150,33,50,213,0.15492957746478872,0.2347417840375587,304
205,13,17,212,0.06132075471698113,0.08018867924528301,119
195,17,30,207,0.0821256038647343,0.14492753623188406,73
35,5,10,207,0.024154589371980676,0.04830917874396135,263
220,5,7,204,0.024509803921568627,0.03431372549019608,220
80,14,24,201,0.06965174129353234,0.11940298507462686,246
103,16,25,199,0.08040201005025126,0.12562814070351758,234
47,12,20,194,0.061855670103092786,0.10309278350515463,489
25,22,46,193,0.11398963730569948,0.23834196891191708,280
277,31,51,191,0.16230366492146597,0.2670157068062827,139
312,21,33,190,0.11052631578947368,0.1736842105263158,438
329,28,45,187,0.1497326203208556,0.24064171122994651,166
228,14,23,184,0.07608695652173914,0.125,195
87,17,25,180,0.09444444444444444,0.1388888888888889,477
60,16,29,177,0.0903954802259887,0.1638418079096045,266
85,16,33,176,0.09090909090909091,0.1875,153
249,25,44,174,0.14367816091954022,0.25287356321839083,74
244,2,6,173,0.011560693641618497,0.03468208092485549,555
180,26,48,173,0.15028901734104047,0.2774566473988439,279
49,23,34,171,0.13450292397660818,0.19883040935672514,256
95,10,13,170,0.058823529411764705,0.07647058823529412,167
175,9,24,165,0.05454545454545454,0.14545454545454545,95
155,17,30,165,0.10303030303030303,0.18181818181818182,141
362,5,8,164,0.03048780487804878,0.04878048780487805,80
18,5,7,162,0.030864197530864196,0.043209876543209874,117
190,3,12,161,0.018633540372670808,0.07453416149068323,216
283,17,24,160,0.10625,0.15,265
61,49,66,156,0.3141025641025641,0.4230769230769231,534
127,22,40,153,0.1437908496732026,0.26143790849673204,33
297,17,28,151,0.11258278145695365,0.18543046357615894,561
30,9,13,150,0.06,0.08666666666666667,525
94,8,12,149,0.053691275167785234,0.08053691275167785,7
268,15,29,149,0.10067114093959731,0.19463087248322147,260
439,5,13,149,0.03355704697986577,0.087248322147651,287
159,17,21,147,0.11564625850340136,0.14285714285714285,233
260,16,33,147,0.10884353741496598,0.22448979591836735,247
354,9,14,147,0.061224489795918366,0.09523809523809523,113
146,1,11,145,0.006896551724137931,0.07586206896551724,100
55,16,24,142,0.11267605633802817,0.16901408450704225,381
14,24,32,140,0.17142857142857143,0.22857142857142856,509
193,15,32,140,0.10714285714285714,0.22857142857142856,368
152,3,8,139,0.02158273381294964,0.05755395683453238,469
276,8,12,138,0.057971014492753624,0.08695652173913043,137
227,24,39,137,0.17518248175182483,0.2846715328467153,10
235,28,43,137,0.20437956204379562,0.31386861313868614,47
207,7,10,137,0.051094890510948905,0.072992700729927,560
165,31,51,137,0.22627737226277372,0.3722627737226277,129
