,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,172,295,2695,0.06382189239332096,0.10946196660482375,414
564,180,305,2475,0.07272727272727272,0.12323232323232323,599
195,233,302,2105,0.11068883610451306,0.14346793349168646,474
228,276,383,1861,0.14830736163353037,0.2058033315421816,448
321,62,114,1343,0.04616530156366344,0.08488458674609084,274
543,138,222,1299,0.10623556581986143,0.17090069284064666,610
307,77,123,1257,0.061256961018297536,0.09785202863961814,68
556,269,375,1215,0.22139917695473252,0.30864197530864196,380
322,92,167,1112,0.08273381294964029,0.15017985611510792,606
206,99,160,1052,0.094106463878327,0.1520912547528517,288
438,74,150,1043,0.07094918504314478,0.14381591562799617,249
268,36,73,1024,0.03515625,0.0712890625,387
256,48,68,974,0.049281314168377825,0.06981519507186858,182
333,74,125,972,0.07613168724279835,0.1286008230452675,307
165,62,133,940,0.06595744680851064,0.14148936170212767,603
506,44,80,936,0.04700854700854701,0.08547008547008547,298
483,56,90,901,0.06215316315205328,0.09988901220865705,177
364,44,66,876,0.0502283105022831,0.07534246575342465,318
261,95,141,859,0.11059371362048893,0.16414435389988358,232
327,42,78,833,0.05042016806722689,0.0936374549819928,480
289,27,50,828,0.03260869565217391,0.06038647342995169,608
371,48,86,760,0.06315789473684211,0.11315789473684211,600
325,72,110,725,0.0993103448275862,0.15172413793103448,483
380,46,62,725,0.06344827586206897,0.08551724137931034,590
500,49,89,719,0.06815020862308763,0.12378303198887343,105
181,33,66,700,0.047142857142857146,0.09428571428571429,19
525,62,111,674,0.09198813056379822,0.16468842729970326,305
427,63,114,645,0.09767441860465116,0.17674418604651163,489
582,32,53,643,0.049766718506998445,0.08242612752721618,111
273,107,148,632,0.16930379746835442,0.23417721518987342,438
166,26,31,610,0.04262295081967213,0.05081967213114754,217
149,56,91,605,0.09256198347107437,0.15041322314049588,140
342,27,50,597,0.04522613065326633,0.08375209380234507,477
207,60,91,575,0.10434782608695652,0.1582608695652174,555
288,57,90,572,0.09965034965034965,0.15734265734265734,91
367,60,92,567,0.10582010582010581,0.16225749559082892,28
339,105,138,525,0.2,0.26285714285714284,219
524,112,172,517,0.21663442940038685,0.33268858800773693,534
587,49,93,515,0.09514563106796116,0.18058252427184465,89
311,44,67,514,0.08560311284046693,0.1303501945525292,64
269,22,37,504,0.04365079365079365,0.07341269841269842,226
554,120,163,502,0.23904382470119523,0.3247011952191235,561
518,77,114,499,0.15430861723446893,0.22845691382765532,18
541,53,81,497,0.10663983903420524,0.16297786720321933,525
182,36,61,473,0.07610993657505286,0.12896405919661733,57
316,78,127,471,0.16560509554140126,0.26963906581740976,381
189,9,28,466,0.019313304721030045,0.060085836909871244,368
486,78,116,464,0.16810344827586207,0.25,509
179,7,25,462,0.015151515151515152,0.05411255411255411,469
537,37,58,455,0.08131868131868132,0.12747252747252746,560
294,33,53,452,0.07300884955752213,0.1172566371681416,462
193,7,22,443,0.01580135440180587,0.04966139954853273,292
452,95,137,440,0.2159090909090909,0.31136363636363634,21
143,24,37,440,0.05454545454545454,0.08409090909090909,597
217,13,26,437,0.029748283752860413,0.059496567505720827,42
183,57,88,434,0.1313364055299539,0.20276497695852536,294
188,65,97,434,0.1497695852534562,0.22350230414746544,160
319,66,100,433,0.15242494226327943,0.23094688221709006,580
607,105,153,408,0.25735294117647056,0.375,596
251,26,52,400,0.065,0.13,275
201,49,74,400,0.1225,0.185,202
549,11,18,397,0.027707808564231738,0.04534005037783375,517
161,20,37,396,0.050505050505050504,0.09343434343434344,45
140,18,36,395,0.04556962025316456,0.09113924050632911,156
601,9,22,394,0.02284263959390863,0.05583756345177665,514
233,23,37,383,0.06005221932114883,0.09660574412532637,391
592,24,36,382,0.06282722513089005,0.09424083769633508,567
