,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,2,4,0.4,0.4,610
1,3,5,0.6,0.5,294
2,0,3,0.0,0.3,286
3,4,7,0.8,0.7,298
4,3,3,0.6,0.3,82
5,2,5,0.4,0.5,202
6,0,0,0.0,0.0,341
7,2,5,0.4,0.5,217
8,1,4,0.2,0.4,57
9,3,8,0.6,0.8,21
10,1,4,0.2,0.4,183
11,4,8,0.8,0.8,414
12,4,5,0.8,0.5,483
13,3,4,0.6,0.4,182
14,2,3,0.4,0.3,509
15,3,4,0.6,0.4,125
16,2,2,0.4,0.2,84
17,3,5,0.6,0.5,140
18,2,2,0.4,0.2,117
19,0,0,0.0,0.0,520
20,3,7,0.6,0.7,313
21,3,3,0.6,0.3,443
22,0,0,0.0,0.0,271
23,3,6,0.6,0.6,232
24,2,2,0.4,0.2,131
25,1,1,0.2,0.1,280
26,2,5,0.4,0.5,274
27,1,2,0.2,0.2,590
28,2,2,0.4,0.2,239
29,5,9,1.0,0.9,305
30,1,3,0.2,0.3,525
31,0,1,0.0,0.1,29
32,0,1,0.0,0.1,597
33,2,3,0.4,0.3,372
34,2,3,0.4,0.3,144
35,0,0,0.0,0.0,263
36,0,0,0.0,0.0,168
37,0,1,0.0,0.1,226
38,0,0,0.0,0.0,244
39,0,2,0.0,0.2,249
40,1,4,0.2,0.4,582
41,1,1,0.2,0.1,103
42,2,2,0.4,0.2,68
43,0,0,0.0,0.0,255
44,0,2,0.0,0.2,51
45,0,0,0.0,0.0,223
46,3,5,0.6,0.5,91
47,0,2,0.0,0.2,489
48,0,1,0.0,0.1,116
49,0,4,0.0,0.4,256
50,3,6,0.6,0.6,606
51,1,2,0.2,0.2,402
52,1,3,0.2,0.3,111
53,1,3,0.2,0.3,330
54,4,5,0.8,0.5,603
55,5,8,1.0,0.8,381
56,1,2,0.2,0.2,24
57,5,9,1.0,0.9,105
58,0,2,0.0,0.2,393
59,1,4,0.2,0.4,308
60,0,0,0.0,0.0,266
61,2,3,0.4,0.3,534
62,1,2,0.2,0.2,96
63,1,2,0.2,0.2,453
64,4,5,0.8,0.5,177
65,0,1,0.0,0.1,404
66,4,7,0.8,0.7,41
67,2,3,0.4,0.3,50
68,4,7,0.8,0.7,1
69,0,0,0.0,0.0,48
70,0,2,0.0,0.2,200
71,1,1,0.2,0.1,410
72,3,3,0.6,0.3,332
73,1,2,0.2,0.2,599
74,1,4,0.2,0.4,387
75,1,1,0.2,0.1,89
76,0,0,0.0,0.0,215
77,0,2,0.0,0.2,187
78,3,3,0.6,0.3,432
79,4,6,0.8,0.6,288
80,0,1,0.0,0.1,246
81,1,1,0.2,0.1,4
82,2,4,0.4,0.4,42
83,1,1,0.2,0.1,176
84,0,1,0.0,0.1,342
85,3,4,0.6,0.4,153
86,1,2,0.2,0.2,222
87,1,3,0.2,0.3,477
88,2,3,0.4,0.3,219
89,2,3,0.4,0.3,572
90,0,0,0.0,0.0,544
91,0,0,0.0,0.0,90
92,0,0,0.0,0.0,205
93,3,4,0.6,0.4,235
94,2,6,0.4,0.6,7
95,0,0,0.0,0.0,167
96,2,2,0.4,0.2,356
97,0,0,0.0,0.0,13
98,0,2,0.0,0.2,112
99,2,3,0.4,0.3,45
100,0,0,0.0,0.0,172
101,2,3,0.4,0.3,570
102,0,0,0.0,0.0,257
103,3,3,0.6,0.3,234
104,0,1,0.0,0.1,19
105,0,0,0.0,0.0,292
106,3,5,0.6,0.5,425
107,0,0,0.0,0.0,383
108,0,1,0.0,0.1,405
109,2,4,0.4,0.4,434
110,1,1,0.2,0.1,221
111,5,8,1.0,0.8,18
112,2,3,0.4,0.3,156
113,2,3,0.4,0.3,64
114,2,4,0.4,0.4,46
115,1,1,0.2,0.1,191
116,0,0,0.0,0.0,354
117,2,3,0.4,0.3,76
118,3,6,0.6,0.6,160
119,0,1,0.0,0.1,448
120,2,4,0.4,0.4,199
121,4,5,0.8,0.5,62
122,3,3,0.6,0.3,38
123,1,2,0.2,0.2,318
124,0,0,0.0,0.0,546
125,0,0,0.0,0.0,285
126,0,0,0.0,0.0,335
127,4,4,0.8,0.4,33
128,0,1,0.0,0.1,184
129,0,1,0.0,0.1,357
130,2,4,0.4,0.4,241
131,1,3,0.2,0.3,307
132,2,2,0.4,0.2,198
133,0,1,0.0,0.1,211
134,0,3,0.0,0.3,66
135,3,6,0.6,0.6,474
136,0,2,0.0,0.2,148
137,0,0,0.0,0.0,377
138,1,1,0.2,0.1,78
139,0,2,0.0,0.2,28
140,3,5,0.6,0.5,275
141,0,0,0.0,0.0,93
142,0,2,0.0,0.2,447
143,0,1,0.0,0.1,17
144,1,3,0.2,0.3,40
145,0,1,0.0,0.1,252
