,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
26,308,401,1343,0.22933730454207,0.29858525688756515,274
42,313,387,1257,0.24900556881463803,0.30787589498806683,68
79,326,392,1052,0.30988593155893535,0.3726235741444867,288
39,242,343,1043,0.23202301054650049,0.3288590604026846,249
13,327,403,974,0.33572895277207393,0.4137577002053388,182
3,184,234,936,0.19658119658119658,0.25,298
64,235,283,901,0.26082130965593786,0.31409544950055496,177
23,327,368,859,0.3806752037252619,0.42840512223515714,232
11,111,154,809,0.13720642768850433,0.1903584672435105,414
73,53,91,743,0.07133243606998654,0.1224764468371467,599
57,193,236,719,0.26842837273991654,0.3282336578581363,105
104,209,286,700,0.2985714285714286,0.4085714285714286,19
29,237,278,674,0.3516320474777448,0.4124629080118694,305
52,172,247,643,0.26749611197511663,0.38413685847589424,111
135,94,138,632,0.14873417721518986,0.21835443037974683,474
7,128,189,610,0.2098360655737705,0.30983606557377047,217
17,190,231,605,0.3140495867768595,0.38181818181818183,140
46,235,287,572,0.41083916083916083,0.5017482517482518,91
139,114,158,567,0.20105820105820105,0.2786596119929453,28
119,54,99,559,0.09660107334525939,0.1771019677996422,448
88,211,258,525,0.40190476190476193,0.49142857142857144,219
75,62,80,515,0.1203883495145631,0.1553398058252427,89
113,193,244,514,0.3754863813229572,0.47470817120622566,64
37,192,225,504,0.38095238095238093,0.44642857142857145,226
111,208,229,499,0.4168336673346693,0.4589178356713427,18
8,231,261,473,0.4883720930232558,0.5517970401691332,57
105,126,162,443,0.28442437923250563,0.3656884875846501,292
9,119,156,440,0.27045454545454545,0.35454545454545455,21
82,164,212,437,0.37528604118993136,0.4851258581235698,42
118,161,186,434,0.3709677419354839,0.42857142857142855,160
1,114,147,434,0.2626728110599078,0.3387096774193548,294
5,219,254,400,0.5475,0.635,202
140,181,222,400,0.4525,0.555,275
99,169,211,396,0.42676767676767674,0.5328282828282829,45
112,143,182,395,0.3620253164556962,0.4607594936708861,156
0,54,70,390,0.13846153846153847,0.1794871794871795,610
41,132,158,374,0.35294117647058826,0.42245989304812837,103
171,122,161,365,0.33424657534246577,0.4410958904109589,380
121,110,138,363,0.30303030303030304,0.38016528925619836,62
120,159,188,360,0.44166666666666665,0.5222222222222223,199
15,79,103,357,0.22128851540616246,0.28851540616246496,125
44,76,125,356,0.21348314606741572,0.351123595505618,51
191,163,205,344,0.4738372093023256,0.5959302325581395,132
134,155,184,342,0.45321637426900585,0.5380116959064327,66
50,74,95,334,0.2215568862275449,0.2844311377245509,606
70,72,101,331,0.2175226586102719,0.30513595166163143,200
110,136,181,328,0.4146341463414634,0.551829268292683,221
202,171,187,311,0.5498392282958199,0.6012861736334405,6
74,61,88,308,0.19805194805194806,0.2857142857142857,387
67,63,89,307,0.20521172638436483,0.2899022801302932,50
131,101,129,292,0.3458904109589041,0.4417808219178082,307
16,104,126,290,0.3586206896551724,0.43448275862068964,84
242,114,144,289,0.3944636678200692,0.4982698961937716,122
54,64,87,282,0.22695035460992907,0.30851063829787234,603
232,112,145,276,0.4057971014492754,0.5253623188405797,135
28,70,93,276,0.2536231884057971,0.33695652173913043,239
157,90,121,270,0.3333333333333333,0.44814814814814813,104
243,174,202,268,0.6492537313432836,0.753731343283582,63
224,121,152,266,0.4548872180451128,0.5714285714285714,169
223,127,153,264,0.4810606060606061,0.5795454545454546,290
123,30,48,263,0.11406844106463879,0.18250950570342206,318
77,77,99,255,0.30196078431372547,0.38823529411764707,187
185,142,179,250,0.568,0.716,480
214,91,134,249,0.3654618473895582,0.5381526104417671,608
86,46,65,247,0.1862348178137652,0.2631578947368421,222
323,88,113,245,0.35918367346938773,0.46122448979591835,212
241,83,116,239,0.3472803347280335,0.48535564853556484,20
225,90,120,234,0.38461538461538464,0.5128205128205128,282
68,113,128,229,0.49344978165938863,0.5589519650655022,1
162,105,139,228,0.4605263157894737,0.6096491228070176,600
132,94,134,227,0.41409691629955947,0.5903083700440529,198
4,105,143,224,0.46875,0.6383928571428571,82
153,105,137,223,0.47085201793721976,0.6143497757847534,186
27,93,126,218,0.42660550458715596,0.5779816513761468,590
12,86,109,218,0.3944954128440367,0.5,483
66,142,160,214,0.6635514018691588,0.7476635514018691,41
81,50,93,213,0.2347417840375587,0.43661971830985913,4
150,72,101,213,0.3380281690140845,0.47417840375586856,304
205,75,100,212,0.35377358490566035,0.4716981132075472,119
195,125,145,207,0.6038647342995169,0.7004830917874396,73
35,53,79,207,0.2560386473429952,0.38164251207729466,263
220,79,100,204,0.3872549019607843,0.49019607843137253,220
80,33,51,201,0.16417910447761194,0.2537313432835821,246
103,70,86,199,0.35175879396984927,0.4321608040201005,234
47,100,122,194,0.5154639175257731,0.6288659793814433,489
25,39,55,193,0.20207253886010362,0.2849740932642487,280
277,105,133,191,0.5497382198952879,0.6963350785340314,139
312,71,99,190,0.3736842105263158,0.5210526315789473,438
329,122,135,187,0.6524064171122995,0.7219251336898396,166
228,73,101,184,0.3967391304347826,0.5489130434782609,195
87,69,100,180,0.38333333333333336,0.5555555555555556,477
60,43,67,177,0.24293785310734464,0.3785310734463277,266
85,85,105,176,0.48295454545454547,0.5965909090909091,153
249,61,73,174,0.3505747126436782,0.41954022988505746,74
244,55,79,173,0.3179190751445087,0.45664739884393063,555
180,104,122,173,0.6011560693641619,0.7052023121387283,279
49,54,70,171,0.3157894736842105,0.4093567251461988,256
95,73,102,170,0.4294117647058823,0.6,167
175,72,86,165,0.43636363636363634,0.5212121212121212,95
155,93,110,165,0.5636363636363636,0.6666666666666666,141
362,13,21,164,0.07926829268292683,0.12804878048780488,80
18,139,143,162,0.8580246913580247,0.8827160493827161,117
190,64,88,161,0.39751552795031053,0.546583850931677,216
283,56,78,160,0.35,0.4875,265
61,57,76,156,0.36538461538461536,0.48717948717948717,534
127,61,73,153,0.39869281045751637,0.477124183006536,33
297,76,104,151,0.5033112582781457,0.6887417218543046,561
30,95,113,150,0.6333333333333333,0.7533333333333333,525
94,79,96,149,0.5302013422818792,0.6442953020134228,7
268,67,81,149,0.44966442953020136,0.5436241610738255,260
439,61,77,149,0.40939597315436244,0.5167785234899329,287
159,94,102,147,0.6394557823129252,0.6938775510204082,233
260,119,133,147,0.8095238095238095,0.9047619047619048,247
354,37,47,147,0.25170068027210885,0.3197278911564626,113
146,76,105,145,0.5241379310344828,0.7241379310344828,100
55,77,92,142,0.5422535211267606,0.647887323943662,381
14,51,72,140,0.36428571428571427,0.5142857142857142,509
193,65,89,140,0.4642857142857143,0.6357142857142857,368
152,90,110,139,0.6474820143884892,0.7913669064748201,469
276,76,90,138,0.5507246376811594,0.6521739130434783,137
227,58,71,137,0.4233576642335766,0.5182481751824818,10
235,61,77,137,0.44525547445255476,0.5620437956204379,47
207,52,73,137,0.3795620437956204,0.5328467153284672,560
165,100,114,137,0.7299270072992701,0.8321167883211679,129
221,60,70,136,0.4411764705882353,0.5147058823529411,230
322,27,39,136,0.19852941176470587,0.2867647058823529,462
212,53,66,135,0.3925925925925926,0.4888888888888889,210
32,71,97,132,0.5378787878787878,0.7348484848484849,597
393,17,28,132,0.12878787878787878,0.21212121212121213,15
237,61,76,132,0.4621212121212121,0.5757575757575758,27
128,26,30,131,0.1984732824427481,0.22900763358778625,184
321,59,69,130,0.45384615384615384,0.5307692307692308,580
187,68,79,127,0.5354330708661418,0.6220472440944882,52
179,55,75,126,0.4365079365079365,0.5952380952380952,268
34,86,99,125,0.688,0.792,144
291,88,94,125,0.704,0.752,240
148,74,87,124,0.5967741935483871,0.7016129032258065,109
302,26,38,124,0.20967741935483872,0.3064516129032258,254
182,20,31,123,0.16260162601626016,0.25203252032520324,596
494,41,57,120,0.3416666666666667,0.475,517
177,24,37,119,0.20168067226890757,0.31092436974789917,514
154,59,71,118,0.5,0.6016949152542372,23
286,18,25,116,0.15517241379310345,0.21551724137931033,22
117,57,71,116,0.49137931034482757,0.6120689655172413,76
344,30,39,115,0.2608695652173913,0.3391304347826087,567
181,28,41,115,0.24347826086956523,0.3565217391304348,83
222,61,78,115,0.5304347826086957,0.6782608695652174,391
410,77,87,115,0.6695652173913044,0.7565217391304347,181
129,47,65,114,0.41228070175438597,0.5701754385964912,357
360,70,79,111,0.6306306306306306,0.7117117117117117,43
