,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,2,2,0.4,0.2,429
1,0,0,0.0,0.0,107
2,1,1,0.2,0.1,191
3,1,1,0.2,0.1,99
4,1,1,0.2,0.1,54
5,1,1,0.2,0.1,35
6,1,1,0.2,0.1,468
7,3,3,0.6,0.3,353
8,0,0,0.0,0.0,40
9,1,1,0.2,0.1,604
10,0,0,0.0,0.0,145
11,1,2,0.2,0.2,136
12,0,0,0.0,0.0,130
13,0,0,0.0,0.0,444
14,2,2,0.4,0.2,284
15,0,0,0.0,0.0,536
16,1,1,0.2,0.1,134
17,0,1,0.0,0.1,436
18,2,2,0.4,0.2,242
19,4,5,0.8,0.5,314
20,1,1,0.2,0.1,574
21,3,3,0.6,0.3,385
22,1,1,0.2,0.1,349
23,0,0,0.0,0.0,46
24,0,0,0.0,0.0,584
25,0,0,0.0,0.0,476
26,0,1,0.0,0.1,192
27,0,0,0.0,0.0,14
28,3,4,0.6,0.4,411
29,0,2,0.0,0.2,541
30,0,0,0.0,0.0,273
31,2,3,0.4,0.3,56
32,2,3,0.4,0.3,102
33,0,0,0.0,0.0,455
34,0,0,0.0,0.0,162
35,0,0,0.0,0.0,229
36,2,2,0.4,0.2,26
37,0,0,0.0,0.0,447
38,2,2,0.4,0.2,243
39,0,2,0.0,0.2,592
40,0,0,0.0,0.0,485
41,1,1,0.2,0.1,404
42,2,4,0.4,0.4,142
43,0,0,0.0,0.0,507
44,0,0,0.0,0.0,394
45,2,2,0.4,0.2,498
46,2,2,0.4,0.2,588
47,0,0,0.0,0.0,8
48,2,3,0.4,0.3,486
49,2,2,0.4,0.2,176
50,0,0,0.0,0.0,262
51,0,0,0.0,0.0,170
52,3,6,0.6,0.6,602
53,0,0,0.0,0.0,179
54,4,4,0.8,0.4,109
55,0,0,0.0,0.0,38
56,2,2,0.4,0.2,235
57,0,0,0.0,0.0,512
58,1,1,0.2,0.1,395
59,2,2,0.4,0.2,386
60,0,1,0.0,0.1,321
61,1,1,0.2,0.1,530
62,0,0,0.0,0.0,173
63,2,3,0.4,0.3,94
64,1,1,0.2,0.1,133
65,3,5,0.6,0.5,446
66,1,1,0.2,0.1,117
67,2,3,0.4,0.3,501
68,3,3,0.6,0.3,37
69,1,1,0.2,0.1,81
70,1,2,0.2,0.2,181
71,2,2,0.4,0.2,559
72,2,5,0.4,0.5,6
73,0,0,0.0,0.0,458
74,3,3,0.6,0.3,126
75,1,1,0.2,0.1,565
76,1,1,0.2,0.1,373
77,0,0,0.0,0.0,609
78,0,0,0.0,0.0,379
79,0,0,0.0,0.0,5
80,0,0,0.0,0.0,347
81,1,1,0.2,0.1,121
82,2,3,0.4,0.3,58
83,0,1,0.0,0.1,174
84,1,1,0.2,0.1,340
85,3,3,0.6,0.3,43
86,1,1,0.2,0.1,566
87,0,0,0.0,0.0,470
88,2,2,0.4,0.2,374
89,2,4,0.4,0.4,240
90,2,2,0.4,0.2,569
91,1,3,0.2,0.3,402
92,1,2,0.2,0.2,31
93,3,3,0.6,0.3,544
94,4,5,0.8,0.5,206
95,1,4,0.2,0.4,269
96,3,4,0.6,0.4,524
97,2,3,0.4,0.3,521
98,4,4,0.8,0.4,270
99,0,0,0.0,0.0,214
100,4,4,0.8,0.4,451
101,2,2,0.4,0.2,150
102,3,3,0.6,0.3,302
103,3,3,0.6,0.3,529
