,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,619,653,2695,0.22968460111317254,0.24230055658627087,414
564,524,571,2475,0.21171717171717172,0.2307070707070707,599
195,462,540,2105,0.21947743467933492,0.25653206650831356,474
228,322,447,1861,0.17302525523911874,0.24019344438473939,448
321,313,357,1343,0.233060312732688,0.26582278481012656,274
543,165,247,1299,0.12702078521939955,0.1901462663587375,610
307,418,454,1257,0.3325377883850438,0.3611774065234686,68
556,310,421,1215,0.2551440329218107,0.3465020576131687,380
322,249,311,1112,0.2239208633093525,0.27967625899280574,606
206,324,379,1052,0.30798479087452474,0.3602661596958175,288
438,165,246,1043,0.15819750719079578,0.23585810162991372,249
268,223,278,1024,0.2177734375,0.271484375,387
256,275,312,974,0.28234086242299794,0.3203285420944558,182
333,267,320,972,0.27469135802469136,0.3292181069958848,307
165,236,297,940,0.251063829787234,0.3159574468085106,603
506,135,195,936,0.14423076923076922,0.20833333333333334,298
483,209,287,901,0.23196448390677027,0.31853496115427304,177
364,126,190,876,0.14383561643835616,0.21689497716894976,318
261,133,197,859,0.1548311990686845,0.22933643771827705,232
327,273,334,833,0.3277310924369748,0.4009603841536615,480
289,293,334,828,0.3538647342995169,0.4033816425120773,608
371,226,285,760,0.29736842105263156,0.375,600
325,246,304,725,0.3393103448275862,0.4193103448275862,483
380,267,322,725,0.3682758620689655,0.44413793103448274,590
500,105,148,719,0.14603616133518776,0.20584144645340752,105
181,226,270,700,0.32285714285714284,0.38571428571428573,19
525,134,195,674,0.19881305637982197,0.2893175074183976,305
427,221,281,645,0.3426356589147287,0.4356589147286822,489
582,81,124,643,0.12597200622083982,0.19284603421461896,111
273,178,242,632,0.28164556962025317,0.3829113924050633,438
166,172,221,610,0.2819672131147541,0.3622950819672131,217
149,150,213,605,0.24793388429752067,0.35206611570247937,140
342,187,240,597,0.3132328308207705,0.4020100502512563,477
207,186,230,575,0.3234782608695652,0.4,555
288,234,284,572,0.4090909090909091,0.4965034965034965,91
367,137,186,567,0.24162257495590828,0.328042328042328,28
339,167,242,525,0.3180952380952381,0.46095238095238095,219
524,109,175,517,0.21083172147001933,0.33849129593810445,534
587,53,82,515,0.1029126213592233,0.15922330097087378,89
311,223,266,514,0.433852140077821,0.5175097276264592,64
269,169,208,504,0.3353174603174603,0.4126984126984127,226
554,175,241,502,0.34860557768924305,0.4800796812749004,561
518,143,205,499,0.2865731462925852,0.41082164328657317,18
541,132,186,497,0.2655935613682093,0.37424547283702214,525
182,201,243,473,0.4249471458773784,0.5137420718816068,57
316,155,207,471,0.32908704883227174,0.4394904458598726,381
189,157,192,466,0.3369098712446352,0.41201716738197425,368
486,86,141,464,0.1853448275862069,0.30387931034482757,509
179,190,226,462,0.41125541125541126,0.48917748917748916,469
537,109,144,455,0.23956043956043957,0.31648351648351647,560
294,97,139,452,0.21460176991150443,0.3075221238938053,462
193,110,145,443,0.24830699774266365,0.327313769751693,292
452,110,158,440,0.25,0.35909090909090907,21
143,157,214,440,0.3568181818181818,0.4863636363636364,597
217,158,204,437,0.36155606407322655,0.4668192219679634,42
183,130,171,434,0.2995391705069124,0.39400921658986177,294
188,171,206,434,0.39400921658986177,0.47465437788018433,160
319,150,199,433,0.3464203233256351,0.45958429561200925,580
607,114,177,408,0.27941176470588236,0.4338235294117647,596
251,117,166,400,0.2925,0.415,275
201,152,181,400,0.38,0.4525,202
549,100,147,397,0.2518891687657431,0.3702770780856423,517
161,172,214,396,0.43434343434343436,0.5404040404040404,45
140,125,159,395,0.31645569620253167,0.40253164556962023,156
601,98,124,394,0.24873096446700507,0.3147208121827411,514
233,155,191,383,0.4046997389033943,0.49869451697127937,391
592,29,56,382,0.07591623036649214,0.14659685863874344,567
440,128,185,380,0.3368421052631579,0.4868421052631579,357
481,105,159,374,0.2807486631016043,0.42513368983957217,103
526,94,130,368,0.2554347826086957,0.3532608695652174,339
588,63,96,363,0.17355371900826447,0.2644628099173554,62
144,106,141,360,0.29444444444444445,0.39166666666666666,199
540,42,61,357,0.11764705882352941,0.17086834733893558,125
363,83,115,356,0.23314606741573032,0.32303370786516855,51
306,114,159,344,0.3313953488372093,0.4622093023255814,132
266,98,148,342,0.28654970760233917,0.4327485380116959,66
232,130,171,337,0.3857566765578635,0.5074183976261127,313
360,120,151,331,0.36253776435045315,0.4561933534743202,200
280,97,131,328,0.29573170731707316,0.39939024390243905,221
72,90,108,311,0.28938906752411575,0.34726688102893893,6
191,122,158,308,0.3961038961038961,0.512987012987013,453
580,49,78,307,0.15960912052117263,0.254071661237785,50
264,147,169,303,0.48514851485148514,0.5577557755775577,425
282,115,149,297,0.3872053872053872,0.5016835016835017,428
334,86,126,296,0.2905405405405405,0.42567567567567566,573
557,76,103,291,0.2611683848797251,0.3539518900343643,352
109,90,125,290,0.3103448275862069,0.43103448275862066,84
529,68,98,289,0.23529411764705882,0.3391003460207612,122
581,46,75,288,0.1597222222222222,0.2604166666666667,382
359,91,132,286,0.3181818181818182,0.46153846153846156,356
226,118,159,276,0.427536231884058,0.5760869565217391,135
353,107,149,276,0.38768115942028986,0.5398550724637681,239
551,41,59,274,0.14963503649635038,0.21532846715328466,365
434,63,97,272,0.23161764705882354,0.35661764705882354,484
250,68,109,270,0.2518518518518518,0.40370370370370373,104
495,99,121,268,0.3694029850746269,0.45149253731343286,63
240,71,104,267,0.26591760299625467,0.3895131086142322,325
259,88,124,266,0.3308270676691729,0.46616541353383456,169
443,82,119,264,0.3106060606060606,0.45075757575757575,332
202,79,114,264,0.29924242424242425,0.4318181818181818,290
521,51,80,262,0.1946564885496183,0.3053435114503817,495
415,72,100,257,0.2801556420233463,0.38910505836575876,432
312,61,88,255,0.23921568627450981,0.34509803921568627,187
558,107,136,252,0.4246031746031746,0.5396825396825397,328
460,65,100,247,0.2631578947368421,0.4048582995951417,222
553,51,69,245,0.20816326530612245,0.2816326530612245,212
395,126,159,244,0.5163934426229508,0.6516393442622951,330
255,65,97,239,0.2719665271966527,0.40585774058577406,20
455,99,123,234,0.4230769230769231,0.5256410256410257,282
122,83,112,233,0.3562231759656652,0.48068669527896996,372
389,99,133,230,0.43043478260869567,0.5782608695652174,434
276,66,93,229,0.28820960698689957,0.40611353711790393,594
177,98,124,229,0.4279475982532751,0.5414847161572053,1
451,75,98,228,0.32894736842105265,0.4298245614035088,562
237,98,124,227,0.43171806167400884,0.5462555066079295,198
263,80,101,224,0.35714285714285715,0.45089285714285715,82
234,79,108,223,0.3542600896860987,0.484304932735426,186
341,94,137,223,0.42152466367713004,0.6143497757847534,354
243,85,104,220,0.38636363636363635,0.4727272727272727,312
392,40,64,218,0.1834862385321101,0.29357798165137616,605
522,57,79,214,0.26635514018691586,0.3691588785046729,41
