,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,849,852,2695,0.3150278293135436,0.3161410018552876,414
564,696,733,2475,0.2812121212121212,0.2961616161616162,599
195,557,612,2105,0.2646080760095012,0.29073634204275534,474
228,467,538,1861,0.2509403546480387,0.2890918860827512,448
321,506,561,1343,0.37676842889054357,0.4177215189873418,274
543,261,368,1299,0.20092378752886836,0.28329484218629714,610
307,633,672,1257,0.5035799522673031,0.5346062052505967,68
556,415,481,1215,0.34156378600823045,0.3958847736625514,380
322,315,390,1112,0.28327338129496404,0.35071942446043164,606
206,436,491,1052,0.4144486692015209,0.4667300380228137,288
438,308,389,1043,0.2953020134228188,0.37296260786193675,249
268,305,388,1024,0.2978515625,0.37890625,387
256,379,440,974,0.3891170431211499,0.4517453798767967,182
333,394,446,972,0.4053497942386831,0.4588477366255144,307
165,271,337,940,0.28829787234042553,0.35851063829787233,603
506,241,348,936,0.25747863247863245,0.3717948717948718,298
483,351,428,901,0.3895671476137625,0.4750277469478357,177
364,235,316,876,0.2682648401826484,0.3607305936073059,318
261,223,315,859,0.259604190919674,0.36670547147846333,232
327,470,507,833,0.5642256902761105,0.6086434573829532,480
289,441,485,828,0.532608695652174,0.5857487922705314,608
371,339,392,760,0.44605263157894737,0.5157894736842106,600
325,392,445,725,0.5406896551724137,0.6137931034482759,483
380,421,465,725,0.5806896551724138,0.6413793103448275,590
500,187,277,719,0.26008344923504867,0.3852573018080668,105
181,282,327,700,0.40285714285714286,0.46714285714285714,19
525,249,327,674,0.3694362017804154,0.48516320474777447,305
427,358,409,645,0.5550387596899224,0.6341085271317829,489
582,136,204,643,0.2115085536547434,0.31726283048211507,111
273,273,328,632,0.4319620253164557,0.5189873417721519,438
166,219,272,610,0.3590163934426229,0.4459016393442623,217
149,229,284,605,0.3785123966942149,0.46942148760330576,140
342,286,346,597,0.47906197654941374,0.5795644891122278,477
207,209,264,575,0.3634782608695652,0.4591304347826087,555
288,332,364,572,0.5804195804195804,0.6363636363636364,91
367,206,279,567,0.36331569664902996,0.49206349206349204,28
339,284,347,525,0.540952380952381,0.660952380952381,219
524,169,226,517,0.32688588007736946,0.437137330754352,534
587,61,90,515,0.11844660194174757,0.17475728155339806,89
311,345,393,514,0.6712062256809338,0.7645914396887159,64
269,262,321,504,0.5198412698412699,0.6369047619047619,226
554,271,342,502,0.5398406374501992,0.6812749003984063,561
518,242,299,499,0.4849699398797595,0.5991983967935872,18
541,217,297,497,0.43661971830985913,0.5975855130784709,525
182,245,298,473,0.5179704016913319,0.6300211416490487,57
316,245,312,471,0.5201698513800425,0.6624203821656051,381
189,187,241,466,0.4012875536480687,0.5171673819742489,368
486,139,197,464,0.2995689655172414,0.4245689655172414,509
179,240,287,462,0.5194805194805194,0.6212121212121212,469
537,194,255,455,0.42637362637362636,0.5604395604395604,560
294,142,175,452,0.3141592920353982,0.38716814159292035,462
193,191,239,443,0.43115124153498874,0.5395033860045146,292
452,161,207,440,0.3659090909090909,0.47045454545454546,21
143,206,251,440,0.4681818181818182,0.5704545454545454,597
217,208,248,437,0.4759725400457666,0.5675057208237986,42
183,155,201,434,0.35714285714285715,0.4631336405529954,294
188,204,255,434,0.4700460829493088,0.5875576036866359,160
319,229,290,433,0.5288683602771362,0.6697459584295612,580
607,174,231,408,0.4264705882352941,0.5661764705882353,596
251,169,208,400,0.4225,0.52,275
201,174,221,400,0.435,0.5525,202
549,166,220,397,0.4181360201511335,0.5541561712846348,517
161,254,290,396,0.6414141414141414,0.7323232323232324,45
140,176,205,395,0.44556962025316454,0.5189873417721519,156
601,145,191,394,0.3680203045685279,0.4847715736040609,514
233,205,242,383,0.5352480417754569,0.6318537859007833,391
592,62,93,382,0.16230366492146597,0.24345549738219896,567
440,234,271,380,0.6157894736842106,0.7131578947368421,357
481,187,233,374,0.5,0.6229946524064172,103
526,147,204,368,0.39945652173913043,0.5543478260869565,339
588,134,179,363,0.3691460055096419,0.4931129476584022,62
144,173,224,360,0.48055555555555557,0.6222222222222222,199
540,70,110,357,0.19607843137254902,0.3081232492997199,125
363,129,171,356,0.36235955056179775,0.4803370786516854,51
306,191,238,344,0.5552325581395349,0.6918604651162791,132
266,177,207,342,0.5175438596491229,0.6052631578947368,66
232,182,210,337,0.5400593471810089,0.6231454005934718,313
360,196,244,331,0.5921450151057401,0.7371601208459214,200
280,130,172,328,0.39634146341463417,0.524390243902439,221
72,101,142,311,0.3247588424437299,0.4565916398713826,6
191,179,211,308,0.5811688311688312,0.685064935064935,453
580,84,116,307,0.2736156351791531,0.3778501628664495,50
264,216,243,303,0.7128712871287128,0.801980198019802,425
282,175,210,297,0.5892255892255892,0.7070707070707071,428
334,180,229,296,0.6081081081081081,0.7736486486486487,573
557,112,152,291,0.3848797250859107,0.5223367697594502,352
109,130,164,290,0.4482758620689655,0.5655172413793104,84
529,119,172,289,0.4117647058823529,0.5951557093425606,122
581,84,113,288,0.2916666666666667,0.3923611111111111,382
359,168,199,286,0.5874125874125874,0.6958041958041958,356
226,162,193,276,0.5869565217391305,0.6992753623188406,135
353,208,246,276,0.7536231884057971,0.8913043478260869,239
551,88,122,274,0.32116788321167883,0.44525547445255476,365
434,96,145,272,0.35294117647058826,0.5330882352941176,484
250,114,148,270,0.4222222222222222,0.5481481481481482,104
495,162,207,268,0.6044776119402985,0.7723880597014925,63
240,96,129,267,0.3595505617977528,0.48314606741573035,325
259,138,172,266,0.518796992481203,0.6466165413533834,169
202,88,128,264,0.3333333333333333,0.48484848484848486,290
443,152,189,264,0.5757575757575758,0.7159090909090909,332
521,97,147,262,0.3702290076335878,0.5610687022900763,495
415,123,163,257,0.4785992217898833,0.6342412451361867,432
312,113,148,255,0.44313725490196076,0.5803921568627451,187
558,179,217,252,0.7103174603174603,0.8611111111111112,328
460,111,143,247,0.4493927125506073,0.5789473684210527,222
553,97,134,245,0.39591836734693875,0.5469387755102041,212
395,211,224,244,0.8647540983606558,0.9180327868852459,330
255,88,127,239,0.3682008368200837,0.5313807531380753,20
455,159,192,234,0.6794871794871795,0.8205128205128205,282
122,122,144,233,0.5236051502145923,0.6180257510729614,372
389,180,206,230,0.782608695652174,0.8956521739130435,434
276,90,111,229,0.3930131004366812,0.4847161572052402,594
177,124,156,229,0.5414847161572053,0.6812227074235808,1
451,106,141,228,0.4649122807017544,0.618421052631579,562
237,142,159,227,0.6255506607929515,0.7004405286343612,198
263,114,141,224,0.5089285714285714,0.6294642857142857,82
234,106,135,223,0.47533632286995514,0.6053811659192825,186
341,164,205,223,0.7354260089686099,0.9192825112107623,354
243,107,130,220,0.4863636363636364,0.5909090909090909,312
392,68,94,218,0.3119266055045872,0.43119266055045874,605
522,107,141,214,0.5,0.6588785046728972,41
123,149,168,213,0.6995305164319249,0.7887323943661971,304
156,94,112,213,0.4413145539906103,0.5258215962441315,4
485,68,106,212,0.32075471698113206,0.5,119
492,27,50,210,0.12857142857142856,0.23809523809523808,563
145,125,149,207,0.6038647342995169,0.7198067632850241,263
531,52,94,207,0.25120772946859904,0.45410628019323673,73
595,87,110,205,0.424390243902439,0.5365853658536586,586
361,131,158,204,0.6421568627450981,0.7745098039215687,220
444,80,115,201,0.39800995024875624,0.572139303482587,246
222,88,104,199,0.44221105527638194,0.5226130653266332,234
227,129,162,199,0.6482412060301508,0.8140703517587939,452
21,108,131,198,0.5454545454545454,0.6616161616161617,385
379,111,138,197,0.5634517766497462,0.700507614213198,522
439,79,111,193,0.40932642487046633,0.5751295336787565,280
