,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,61,111,539,0.11317254174397032,0.20593692022263452,414
598,19,44,495,0.03838383838383838,0.08888888888888889,599
473,14,30,421,0.0332541567695962,0.07125890736342043,474
447,36,75,372,0.0967741935483871,0.20161290322580644,448
273,35,52,269,0.13011152416356878,0.19330855018587362,274
609,62,90,260,0.23846153846153847,0.34615384615384615,610
67,15,31,252,0.05952380952380952,0.12301587301587301,68
379,36,66,243,0.14814814814814814,0.2716049382716049,380
605,11,19,223,0.04932735426008968,0.08520179372197309,606
287,8,21,211,0.037914691943127965,0.0995260663507109,288
248,37,58,209,0.17703349282296652,0.27751196172248804,249
386,19,28,205,0.09268292682926829,0.13658536585365855,387
181,9,13,195,0.046153846153846156,0.06666666666666667,182
306,15,32,195,0.07692307692307693,0.1641025641025641,307
602,11,26,188,0.05851063829787234,0.13829787234042554,603
297,19,34,187,0.10160427807486631,0.18181818181818182,298
176,11,22,180,0.06111111111111111,0.12222222222222222,177
317,4,12,175,0.022857142857142857,0.06857142857142857,318
231,11,17,172,0.06395348837209303,0.09883720930232558,232
479,15,28,167,0.08982035928143713,0.16766467065868262,480
607,6,17,166,0.03614457831325301,0.10240963855421686,608
599,8,11,152,0.05263157894736842,0.07236842105263158,600
589,9,19,145,0.06206896551724138,0.1310344827586207,590
482,11,15,145,0.07586206896551724,0.10344827586206896,483
104,2,7,144,0.013888888888888888,0.04861111111111111,105
18,10,19,140,0.07142857142857142,0.1357142857142857,19
304,17,25,135,0.1259259259259259,0.18518518518518517,305
488,3,8,129,0.023255813953488372,0.06201550387596899,489
110,10,14,129,0.07751937984496124,0.10852713178294573,111
437,9,12,127,0.07086614173228346,0.09448818897637795,438
216,7,21,122,0.05737704918032787,0.1721311475409836,217
139,9,19,121,0.0743801652892562,0.15702479338842976,140
476,5,7,120,0.041666666666666664,0.058333333333333334,477
554,7,14,115,0.06086956521739131,0.12173913043478261,555
90,7,15,115,0.06086956521739131,0.13043478260869565,91
27,8,16,114,0.07017543859649122,0.14035087719298245,28
218,13,22,105,0.12380952380952381,0.20952380952380953,219
533,19,29,104,0.18269230769230768,0.27884615384615385,534
63,5,8,103,0.04854368932038835,0.07766990291262135,64
88,7,14,103,0.06796116504854369,0.13592233009708737,89
560,8,15,101,0.07920792079207921,0.1485148514851485,561
225,4,8,101,0.039603960396039604,0.07920792079207921,226
17,16,26,100,0.16,0.26,18
524,2,4,100,0.02,0.04,525
56,8,17,95,0.08421052631578947,0.17894736842105263,57
380,6,15,94,0.06382978723404255,0.1595744680851064,381
367,21,39,93,0.22580645161290322,0.41935483870967744,368
508,15,21,93,0.16129032258064516,0.22580645161290322,509
468,5,9,93,0.053763440860215055,0.0967741935483871,469
559,6,11,91,0.06593406593406594,0.12087912087912088,560
461,11,11,91,0.12087912087912088,0.12087912087912088,462
291,13,23,89,0.14606741573033707,0.25842696629213485,292
20,23,34,88,0.26136363636363635,0.38636363636363635,21
41,4,10,88,0.045454545454545456,0.11363636363636363,42
596,8,15,88,0.09090909090909091,0.17045454545454544,597
159,7,18,87,0.08045977011494253,0.20689655172413793,160
579,15,27,87,0.1724137931034483,0.3103448275862069,580
293,6,14,87,0.06896551724137931,0.16091954022988506,294
595,4,9,82,0.04878048780487805,0.10975609756097561,596
516,4,6,80,0.05,0.075,517
274,3,5,80,0.0375,0.0625,275
201,3,4,80,0.0375,0.05,202
513,6,11,79,0.0759493670886076,0.13924050632911392,514
44,2,7,79,0.02531645569620253,0.08860759493670886,45
155,1,4,79,0.012658227848101266,0.05063291139240506,156
566,19,28,77,0.24675324675324675,0.36363636363636365,567
390,2,5,77,0.025974025974025976,0.06493506493506493,391
356,1,2,76,0.013157894736842105,0.02631578947368421,357
102,7,13,75,0.09333333333333334,0.17333333333333334,103
338,6,17,74,0.08108108108108109,0.22972972972972974,339
61,7,13,73,0.0958904109589041,0.1780821917808219,62
198,4,6,72,0.05555555555555555,0.08333333333333333,199
124,5,11,72,0.06944444444444445,0.1527777777777778,125
50,5,7,71,0.07042253521126761,0.09859154929577464,51
131,4,5,69,0.057971014492753624,0.07246376811594203,132
65,4,9,69,0.057971014492753624,0.13043478260869565,66
312,5,7,68,0.07352941176470588,0.10294117647058823,313
220,8,12,66,0.12121212121212122,0.18181818181818182,221
199,6,12,66,0.09090909090909091,0.18181818181818182,200
