,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,0,1,0.0,0.1,610
1,2,2,0.4,0.2,294
2,0,1,0.0,0.1,286
3,2,2,0.4,0.2,298
4,0,0,0.0,0.0,82
5,2,3,0.4,0.3,202
6,0,0,0.0,0.0,341
7,0,0,0.0,0.0,217
8,2,3,0.4,0.3,57
9,2,2,0.4,0.2,21
10,0,0,0.0,0.0,183
11,1,4,0.2,0.4,414
12,0,0,0.0,0.0,483
13,2,3,0.4,0.3,182
14,2,3,0.4,0.3,509
15,0,1,0.0,0.1,125
16,0,0,0.0,0.0,84
17,1,1,0.2,0.1,140
18,0,0,0.0,0.0,117
19,0,0,0.0,0.0,520
20,1,1,0.2,0.1,313
21,1,1,0.2,0.1,443
22,0,0,0.0,0.0,271
23,2,3,0.4,0.3,232
24,0,0,0.0,0.0,131
25,0,0,0.0,0.0,280
26,3,5,0.6,0.5,274
27,0,0,0.0,0.0,590
28,0,0,0.0,0.0,239
29,2,3,0.4,0.3,305
30,0,0,0.0,0.0,525
31,0,0,0.0,0.0,29
32,1,1,0.2,0.1,597
33,1,1,0.2,0.1,372
34,1,1,0.2,0.1,144
35,0,0,0.0,0.0,263
36,1,1,0.2,0.1,168
37,0,0,0.0,0.0,226
38,0,0,0.0,0.0,244
39,5,6,1.0,0.6,249
40,1,1,0.2,0.1,582
41,1,2,0.2,0.2,103
42,0,0,0.0,0.0,68
43,0,0,0.0,0.0,255
44,0,2,0.0,0.2,51
45,0,0,0.0,0.0,223
46,0,1,0.0,0.1,91
47,0,0,0.0,0.0,489
48,1,1,0.2,0.1,116
49,1,1,0.2,0.1,256
50,0,0,0.0,0.0,606
51,0,0,0.0,0.0,402
52,2,2,0.4,0.2,111
53,0,0,0.0,0.0,330
54,0,0,0.0,0.0,603
55,0,0,0.0,0.0,381
56,0,0,0.0,0.0,24
57,0,1,0.0,0.1,105
58,1,2,0.2,0.2,393
59,0,0,0.0,0.0,308
60,0,0,0.0,0.0,266
61,0,0,0.0,0.0,534
62,2,2,0.4,0.2,96
63,0,0,0.0,0.0,453
64,1,2,0.2,0.2,177
