,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,232,305,539,0.43042671614100186,0.5658627087198516,414
598,42,77,495,0.08484848484848485,0.15555555555555556,599
473,81,110,421,0.19239904988123516,0.26128266033254155,474
447,32,48,372,0.08602150537634409,0.12903225806451613,448
273,90,134,269,0.3345724907063197,0.49814126394052044,274
609,45,65,260,0.17307692307692307,0.25,610
67,95,130,252,0.376984126984127,0.5158730158730159,68
379,28,67,243,0.11522633744855967,0.2757201646090535,380
605,68,89,223,0.30493273542600896,0.3991031390134529,606
287,94,112,211,0.44549763033175355,0.5308056872037915,288
248,47,80,209,0.22488038277511962,0.3827751196172249,249
386,45,69,205,0.21951219512195122,0.33658536585365856,387
181,70,91,195,0.358974358974359,0.4666666666666667,182
306,65,86,195,0.3333333333333333,0.441025641025641,307
602,38,54,188,0.20212765957446807,0.2872340425531915,603
297,26,44,187,0.13903743315508021,0.23529411764705882,298
176,33,48,180,0.18333333333333332,0.26666666666666666,177
317,10,20,175,0.05714285714285714,0.11428571428571428,318
231,45,64,172,0.2616279069767442,0.37209302325581395,232
479,145,161,167,0.8682634730538922,0.9640718562874252,480
607,70,98,166,0.42168674698795183,0.5903614457831325,608
599,62,93,152,0.40789473684210525,0.6118421052631579,600
589,63,88,145,0.43448275862068964,0.6068965517241379,590
482,57,78,145,0.3931034482758621,0.5379310344827586,483
104,19,21,144,0.13194444444444445,0.14583333333333334,105
18,49,70,140,0.35,0.5,19
304,45,69,135,0.3333333333333333,0.5111111111111111,305
488,110,120,129,0.8527131782945736,0.9302325581395349,489
110,35,61,129,0.2713178294573643,0.4728682170542636,111
437,50,63,127,0.3937007874015748,0.49606299212598426,438
216,20,40,122,0.16393442622950818,0.32786885245901637,217
139,39,50,121,0.32231404958677684,0.4132231404958678,140
476,45,59,120,0.375,0.49166666666666664,477
554,37,49,115,0.3217391304347826,0.4260869565217391,555
90,10,22,115,0.08695652173913043,0.19130434782608696,91
27,54,72,114,0.47368421052631576,0.631578947368421,28
218,57,69,105,0.5428571428571428,0.6571428571428571,219
533,22,34,104,0.21153846153846154,0.3269230769230769,534
88,0,0,103,0.0,0.0,89
63,47,81,103,0.4563106796116505,0.7864077669902912,64
225,56,66,101,0.5544554455445545,0.6534653465346535,226
560,62,78,101,0.6138613861386139,0.7722772277227723,561
17,15,27,100,0.15,0.27,18
524,50,67,100,0.5,0.67,525
56,31,48,95,0.3263157894736842,0.5052631578947369,57
380,51,60,94,0.5425531914893617,0.6382978723404256,381
367,27,43,93,0.2903225806451613,0.46236559139784944,368
508,35,49,93,0.3763440860215054,0.5268817204301075,509
468,41,52,93,0.44086021505376344,0.5591397849462365,469
461,18,28,91,0.1978021978021978,0.3076923076923077,462
559,17,27,91,0.18681318681318682,0.2967032967032967,560
291,22,42,89,0.24719101123595505,0.47191011235955055,292
596,46,61,88,0.5227272727272727,0.6931818181818182,597
41,16,35,88,0.18181818181818182,0.3977272727272727,42
20,24,44,88,0.2727272727272727,0.5,21
579,30,45,87,0.3448275862068966,0.5172413793103449,580
159,36,46,87,0.41379310344827586,0.5287356321839081,160
293,32,54,87,0.367816091954023,0.6206896551724138,294
595,21,39,82,0.25609756097560976,0.47560975609756095,596
516,27,40,80,0.3375,0.5,517
274,30,36,80,0.375,0.45,275
201,18,28,80,0.225,0.35,202
155,42,51,79,0.5316455696202531,0.6455696202531646,156
44,53,64,79,0.6708860759493671,0.810126582278481,45
513,11,15,79,0.13924050632911392,0.189873417721519,514
390,37,43,77,0.4805194805194805,0.5584415584415584,391
566,6,9,77,0.07792207792207792,0.11688311688311688,567
356,30,47,76,0.39473684210526316,0.618421052631579,357
102,29,44,75,0.38666666666666666,0.5866666666666667,103
338,27,36,74,0.36486486486486486,0.4864864864864865,339
61,14,29,73,0.1917808219178082,0.3972602739726027,62
198,35,49,72,0.4861111111111111,0.6805555555555556,199
124,4,7,72,0.05555555555555555,0.09722222222222222,125
50,39,53,71,0.5492957746478874,0.7464788732394366,51
131,38,48,69,0.5507246376811594,0.6956521739130435,132
65,15,28,69,0.21739130434782608,0.4057971014492754,66
312,34,47,68,0.5,0.6911764705882353,313
199,16,43,66,0.24242424242424243,0.6515151515151515,200
220,15,24,66,0.22727272727272727,0.36363636363636365,221
452,34,44,62,0.5483870967741935,0.7096774193548387,453
5,4,7,62,0.06451612903225806,0.11290322580645161,6
49,22,30,62,0.3548387096774194,0.4838709677419355,50
424,24,35,61,0.39344262295081966,0.5737704918032787,425
427,38,44,60,0.6333333333333333,0.7333333333333333,428
572,39,48,59,0.6610169491525424,0.8135593220338984,573
83,12,16,58,0.20689655172413793,0.27586206896551724,84
351,38,45,58,0.6551724137931034,0.7758620689655172,352
381,4,13,58,0.06896551724137931,0.22413793103448276,382
121,15,26,58,0.25862068965517243,0.4482758620689655,122
355,41,47,57,0.7192982456140351,0.8245614035087719,356
483,4,15,55,0.07272727272727272,0.2727272727272727,484
134,27,36,55,0.4909090909090909,0.6545454545454545,135
364,5,15,55,0.09090909090909091,0.2727272727272727,365
238,39,48,55,0.7090909090909091,0.8727272727272727,239
324,18,22,54,0.3333333333333333,0.4074074074074074,325
62,41,46,54,0.7592592592592593,0.8518518518518519,63
103,18,23,54,0.3333333333333333,0.42592592592592593,104
289,16,26,53,0.3018867924528302,0.49056603773584906,290
494,6,14,53,0.11320754716981132,0.2641509433962264,495
331,17,22,53,0.32075471698113206,0.41509433962264153,332
168,26,39,53,0.49056603773584906,0.7358490566037735,169
431,18,27,52,0.34615384615384615,0.5192307692307693,432
186,21,21,51,0.4117647058823529,0.4117647058823529,187
327,40,47,51,0.7843137254901961,0.9215686274509803,328
221,22,29,50,0.44,0.58,222
211,10,17,49,0.20408163265306123,0.3469387755102041,212
329,44,46,49,0.8979591836734694,0.9387755102040817,330
19,18,31,48,0.375,0.6458333333333334,20
371,26,32,47,0.5531914893617021,0.6808510638297872,372
281,33,39,47,0.7021276595744681,0.8297872340425532,282
561,15,30,46,0.32608695652173914,0.6521739130434783,562
593,23,29,46,0.5,0.6304347826086957,594
197,26,29,46,0.5652173913043478,0.6304347826086957,198
433,45,45,46,0.9782608695652174,0.9782608695652174,434
0,26,32,46,0.5652173913043478,0.6956521739130435,1
81,21,29,45,0.4666666666666667,0.6444444444444445,82
185,21,29,45,0.4666666666666667,0.6444444444444445,186
353,31,44,45,0.6888888888888889,0.9777777777777777,354
604,7,12,44,0.1590909090909091,0.2727272727272727,605
311,23,29,44,0.5227272727272727,0.6590909090909091,312
40,24,34,43,0.5581395348837209,0.7906976744186046,41
303,21,29,43,0.4883720930232558,0.6744186046511628,304
118,8,15,43,0.18604651162790697,0.3488372093023256,119
3,15,21,43,0.3488372093023256,0.4883720930232558,4
562,3,12,42,0.07142857142857142,0.2857142857142857,563
262,24,31,42,0.5714285714285714,0.7380952380952381,263
72,12,30,42,0.2857142857142857,0.7142857142857143,73
219,16,21,41,0.3902439024390244,0.5121951219512195,220
585,18,25,41,0.43902439024390244,0.6097560975609756,586
245,15,22,40,0.375,0.55,246
451,21,32,40,0.525,0.8,452
233,8,11,40,0.2,0.275,234
384,22,29,40,0.55,0.725,385
521,20,27,40,0.5,0.675,522
279,7,11,39,0.1794871794871795,0.28205128205128205,280
138,1,3,38,0.02631578947368421,0.07894736842105263,139
569,27,28,38,0.7105263157894737,0.7368421052631579,570
165,38,38,38,1.0,1.0,166
551,9,17,37,0.24324324324324326,0.4594594594594595,552
194,12,18,37,0.32432432432432434,0.4864864864864865,195
366,8,14,37,0.21621621621621623,0.3783783783783784,367
316,19,29,37,0.5135135135135135,0.7837837837837838,317
519,16,21,37,0.43243243243243246,0.5675675675675675,520
606,20,22,37,0.5405405405405406,0.5945945945945946,607
265,22,28,36,0.6111111111111112,0.7777777777777778,266
478,14,17,36,0.3888888888888889,0.4722222222222222,479
278,12,20,35,0.34285714285714286,0.5714285714285714,279
152,17,21,35,0.4857142857142857,0.6,153
73,6,10,35,0.17142857142857143,0.2857142857142857,74
166,30,32,34,0.8823529411764706,0.9411764705882353,167
255,13,23,34,0.38235294117647056,0.6764705882352942,256
79,5,8,33,0.15151515151515152,0.24242424242424243,80
526,11,14,33,0.3333333333333333,0.42424242424242425,527
409,16,23,33,0.48484848484848486,0.696969696969697,410
140,23,31,33,0.696969696969697,0.9393939393939394,141
586,14,24,33,0.42424242424242425,0.7272727272727273,587
94,18,25,33,0.5454545454545454,0.7575757575757576,95
330,9,24,33,0.2727272727272727,0.7272727272727273,331
116,11,16,33,0.3333333333333333,0.48484848484848486,117
576,8,13,32,0.25,0.40625,577
215,10,12,32,0.3125,0.375,216
345,11,15,32,0.34375,0.46875,346
264,3,9,32,0.09375,0.28125,265
563,2,6,31,0.06451612903225806,0.1935483870967742,564
418,13,19,31,0.41935483870967744,0.6129032258064516,419
474,28,28,31,0.9032258064516129,0.9032258064516129,475
571,12,19,31,0.3870967741935484,0.6129032258064516,572
32,10,17,31,0.3225806451612903,0.5483870967741935,33
112,3,8,30,0.1,0.26666666666666666,113
232,15,18,30,0.5,0.6,233
333,10,12,30,0.3333333333333333,0.4,334
259,11,18,30,0.36666666666666664,0.6,260
6,7,12,30,0.23333333333333334,0.4,7
325,11,17,30,0.36666666666666664,0.5666666666666667,326
286,15,21,30,0.5,0.7,287
246,21,26,30,0.7,0.8666666666666667,247
99,8,10,29,0.27586206896551724,0.3448275862068966,100
407,17,18,28,0.6071428571428571,0.6428571428571429,408
128,10,16,28,0.35714285714285715,0.5714285714285714,129
46,15,16,28,0.5357142857142857,0.5714285714285714,47
558,18,22,28,0.6428571428571429,0.7857142857142857,559
419,13,17,28,0.4642857142857143,0.6071428571428571,420
350,6,9,28,0.21428571428571427,0.32142857142857145,351
9,3,9,28,0.10714285714285714,0.32142857142857145,10
136,7,10,28,0.25,0.35714285714285715,137
463,6,11,27,0.2222222222222222,0.4074074074074074,464
26,12,18,27,0.4444444444444444,0.6666666666666666,27
601,3,9,27,0.1111111111111111,0.3333333333333333,602
229,23,26,27,0.8518518518518519,0.9629629629629629,230
209,6,9,27,0.2222222222222222,0.3333333333333333,210
14,17,19,27,0.6296296296296297,0.7037037037037037,15
423,9,12,27,0.3333333333333333,0.4444444444444444,424
183,0,0,26,0.0,0.0,184
51,0,2,26,0.0,0.07692307692307693,52
376,9,10,26,0.34615384615384615,0.38461538461538464,377
375,23,25,26,0.8846153846153846,0.9615384615384616,376
523,11,16,26,0.4230769230769231,0.6153846153846154,524
410,3,6,25,0.12,0.24,411
267,10,15,25,0.4,0.6,268
408,15,19,25,0.6,0.76,409
368,21,23,25,0.84,0.92,369
239,6,7,25,0.24,0.28,240
108,10,12,25,0.4,0.48,109
481,3,8,25,0.12,0.32,482
313,14,18,25,0.56,0.72,314
253,11,17,25,0.44,0.68,254
143,25,25,25,1.0,1.0,144
404,7,9,24,0.2916666666666667,0.375,405
436,11,16,24,0.4583333333333333,0.6666666666666666,437
550,14,17,24,0.5833333333333334,0.7083333333333334,551
392,8,20,24,0.3333333333333333,0.8333333333333334,393
22,13,16,24,0.5416666666666666,0.6666666666666666,23
491,2,3,24,0.08333333333333333,0.125,492
307,12,18,23,0.5217391304347826,0.782608695652174,308
75,15,18,23,0.6521739130434783,0.782608695652174,76
180,1,2,23,0.043478260869565216,0.08695652173913043,181
464,12,17,23,0.5217391304347826,0.7391304347826086,465
21,16,21,23,0.6956521739130435,0.9130434782608695,22
82,15,19,23,0.6521739130434783,0.8260869565217391,83
57,7,11,22,0.3181818181818182,0.5,58
300,18,19,22,0.8181818181818182,0.8636363636363636,301
305,5,8,22,0.22727272727272727,0.36363636363636365,306
570,0,0,22,0.0,0.0,571
135,3,6,22,0.13636363636363635,0.2727272727272727,136
489,14,14,22,0.6363636363636364,0.6363636363636364,490
465,5,17,22,0.22727272727272727,0.7727272727272727,466
42,1,4,22,0.045454545454545456,0.18181818181818182,43
23,10,13,22,0.45454545454545453,0.5909090909090909,24
541,10,19,22,0.45454545454545453,0.8636363636363636,542
200,16,21,22,0.7272727272727273,0.9545454545454546,201
487,8,14,22,0.36363636363636365,0.6363636363636364,488
114,15,16,22,0.6818181818181818,0.7272727272727273,115
361,7,13,21,0.3333333333333333,0.6190476190476191,362
16,12,19,21,0.5714285714285714,0.9047619047619048,17
58,10,15,21,0.47619047619047616,0.7142857142857143,59
285,17,18,21,0.8095238095238095,0.8571428571428571,286
435,3,4,21,0.14285714285714285,0.19047619047619047,436
509,10,12,21,0.47619047619047616,0.5714285714285714,510
321,14,21,21,0.6666666666666666,1.0,322
592,16,17,20,0.8,0.85,593
31,11,16,20,0.55,0.8,32
600,17,19,20,0.85,0.95,601
308,10,11,20,0.5,0.55,309
603,7,11,20,0.35,0.55,604
372,4,10,20,0.2,0.5,373
411,10,13,20,0.5,0.65,412
38,13,16,20,0.65,0.8,39
39,1,2,20,0.05,0.1,40
322,4,8,19,0.21052631578947367,0.42105263157894735,323
360,12,16,19,0.631578947368421,0.8421052631578947,361
92,14,18,19,0.7368421052631579,0.9473684210526315,93
214,10,17,19,0.5263157894736842,0.8947368421052632,215
502,0,1,19,0.0,0.05263157894736842,503
158,10,12,19,0.5263157894736842,0.631578947368421,159
15,14,15,19,0.7368421052631579,0.7894736842105263,16
226,4,10,18,0.2222222222222222,0.5555555555555556,227
414,13,18,18,0.7222222222222222,1.0,415
591,10,11,18,0.5555555555555556,0.6111111111111112,592
417,11,13,18,0.6111111111111112,0.7222222222222222,418
97,14,17,18,0.7777777777777778,0.9444444444444444,98
421,1,2,18,0.05555555555555555,0.1111111111111111,422
243,9,13,18,0.5,0.7222222222222222,244
352,8,10,18,0.4444444444444444,0.5555555555555556,353
167,8,10,18,0.4444444444444444,0.5555555555555556,168
369,16,18,18,0.8888888888888888,1.0,370
553,12,12,17,0.7058823529411765,0.7058823529411765,554
540,1,3,17,0.058823529411764705,0.17647058823529413,541
503,5,7,17,0.29411764705882354,0.4117647058823529,504
499,12,16,17,0.7058823529411765,0.9411764705882353,500
283,5,10,17,0.29411764705882354,0.5882352941176471,284
33,5,8,17,0.29411764705882354,0.47058823529411764,34
425,10,13,17,0.5882352941176471,0.7647058823529411,426
115,15,17,17,0.8823529411764706,1.0,116
190,8,12,17,0.47058823529411764,0.7058823529411765,191
210,13,17,17,0.7647058823529411,1.0,211
426,6,11,16,0.375,0.6875,427
170,9,10,16,0.5625,0.625,171
459,13,14,16,0.8125,0.875,460
212,12,14,16,0.75,0.875,213
389,7,10,16,0.4375,0.625,390
445,10,14,16,0.625,0.875,446
469,7,12,16,0.4375,0.75,470
552,12,16,16,0.75,1.0,553
583,7,9,16,0.4375,0.5625,584
203,8,9,16,0.5,0.5625,204
28,11,16,16,0.6875,1.0,29
522,11,13,15,0.7333333333333333,0.8666666666666667,523
444,13,14,15,0.8666666666666667,0.9333333333333333,445
446,1,4,15,0.06666666666666667,0.26666666666666666,447
95,8,11,15,0.5333333333333333,0.7333333333333333,96
177,12,12,15,0.8,0.8,178
107,4,4,15,0.26666666666666666,0.26666666666666666,108
37,5,9,15,0.3333333333333333,0.6,38
542,10,11,15,0.6666666666666666,0.7333333333333333,543
240,3,3,15,0.2,0.2,241
336,8,11,15,0.5333333333333333,0.7333333333333333,337
222,15,15,15,1.0,1.0,223
224,2,6,15,0.13333333333333333,0.4,225
400,7,9,14,0.5,0.6428571428571429,401
527,8,11,14,0.5714285714285714,0.7857142857142857,528
383,8,11,14,0.5714285714285714,0.7857142857142857,384
85,8,10,14,0.5714285714285714,0.7142857142857143,86
565,4,9,14,0.2857142857142857,0.6428571428571429,566
358,9,14,14,0.6428571428571429,1.0,359
578,6,8,14,0.42857142857142855,0.5714285714285714,579
142,4,6,14,0.2857142857142857,0.42857142857142855,143
296,2,5,14,0.14285714285714285,0.35714285714285715,297
74,8,10,13,0.6153846153846154,0.7692307692307693,75
178,3,6,13,0.23076923076923078,0.46153846153846156,179
234,10,11,13,0.7692307692307693,0.8461538461538461,235
343,5,11,13,0.38461538461538464,0.8461538461538461,344
228,12,12,13,0.9230769230769231,0.9230769230769231,229
341,3,6,13,0.23076923076923078,0.46153846153846156,342
111,12,13,13,0.9230769230769231,1.0,112
475,3,6,13,0.23076923076923078,0.46153846153846156,476
173,8,13,13,0.6153846153846154,1.0,174
130,11,12,13,0.8461538461538461,0.9230769230769231,131
385,3,7,13,0.23076923076923078,0.5384615384615384,386
416,9,9,13,0.6923076923076923,0.6923076923076923,417
164,11,12,13,0.8461538461538461,0.9230769230769231,165
189,4,10,13,0.3076923076923077,0.7692307692307693,190
492,8,10,12,0.6666666666666666,0.8333333333333334,493
309,6,9,12,0.5,0.75,310
344,3,4,12,0.25,0.3333333333333333,345
584,10,11,12,0.8333333333333334,0.9166666666666666,585
35,2,2,12,0.16666666666666666,0.16666666666666666,36
403,5,10,12,0.4166666666666667,0.8333333333333334,404
545,0,0,12,0.0,0.0,546
490,3,5,12,0.25,0.4166666666666667,491
77,9,10,12,0.75,0.8333333333333334,78
69,7,9,12,0.5833333333333334,0.75,70
394,3,5,12,0.25,0.4166666666666667,395
78,8,10,12,0.6666666666666666,0.8333333333333334,79
100,5,6,12,0.4166666666666667,0.5,101
10,9,10,12,0.75,0.8333333333333334,11
151,0,1,12,0.0,0.08333333333333333,152
486,6,7,11,0.5454545454545454,0.6363636363636364,487
485,6,8,11,0.5454545454545454,0.7272727272727273,486
412,5,7,11,0.45454545454545453,0.6363636363636364,413
457,7,8,11,0.6363636363636364,0.7272727272727273,458
182,5,8,11,0.45454545454545453,0.7272727272727273,183
429,7,9,11,0.6363636363636364,0.8181818181818182,430
428,6,7,11,0.5454545454545454,0.6363636363636364,429
454,10,11,11,0.9090909090909091,1.0,455
272,9,10,11,0.8181818181818182,0.9090909090909091,273
557,4,6,11,0.36363636363636365,0.5454545454545454,558
148,4,4,11,0.36363636363636365,0.36363636363636365,149
87,8,11,11,0.7272727272727273,1.0,88
101,7,8,11,0.6363636363636364,0.7272727272727273,102
525,3,5,11,0.2727272727272727,0.45454545454545453,526
150,2,2,11,0.18181818181818182,0.18181818181818182,151
93,8,11,11,0.7272727272727273,1.0,94
582,2,5,11,0.18181818181818182,0.45454545454545453,583
342,9,10,11,0.8181818181818182,0.9090909090909091,343
122,1,4,11,0.09090909090909091,0.36363636363636365,123
335,5,9,11,0.45454545454545453,0.8181818181818182,336
320,3,8,11,0.2727272727272727,0.7272727272727273,321
261,0,1,11,0.0,0.09090909090909091,262
120,6,8,11,0.5454545454545454,0.7272727272727273,121
581,9,10,11,0.8181818181818182,0.9090909090909091,582
266,6,8,11,0.5454545454545454,0.7272727272727273,267
263,11,11,11,1.0,1.0,264
347,6,8,11,0.5454545454545454,0.7272727272727273,348
587,2,7,11,0.18181818181818182,0.6363636363636364,588
415,5,6,10,0.5,0.6,416
456,3,8,10,0.3,0.8,457
496,9,9,10,0.9,0.9,497
260,8,8,10,0.8,0.8,261
531,8,8,10,0.8,0.8,532
123,9,10,10,0.9,1.0,124
590,7,7,10,0.7,0.7,591
302,6,10,10,0.6,1.0,303
247,5,5,10,0.5,0.5,248
511,9,10,10,0.9,1.0,512
510,2,2,10,0.2,0.2,511
98,6,9,10,0.6,0.9,99
315,3,6,10,0.3,0.6,316
449,8,9,10,0.8,0.9,450
236,8,9,10,0.8,0.9,237
169,6,7,10,0.6,0.7,170
109,9,9,10,0.9,0.9,110
223,4,5,10,0.4,0.5,224
89,0,1,10,0.0,0.1,90
340,2,3,10,0.2,0.3,341
30,4,6,10,0.4,0.6,31
68,8,8,9,0.8888888888888888,0.8888888888888888,69
453,7,8,9,0.7777777777777778,0.8888888888888888,454
154,4,4,9,0.4444444444444444,0.4444444444444444,155
187,2,4,9,0.2222222222222222,0.4444444444444444,188
7,7,9,9,0.7777777777777778,1.0,8
346,9,9,9,1.0,1.0,347
55,6,7,9,0.6666666666666666,0.7777777777777778,56
252,3,3,9,0.3333333333333333,0.3333333333333333,253
202,9,9,9,1.0,1.0,203
500,1,3,9,0.1111111111111111,0.3333333333333333,501
147,5,7,9,0.5555555555555556,0.7777777777777778,148
8,1,1,9,0.1111111111111111,0.1111111111111111,9
43,3,5,9,0.3333333333333333,0.5555555555555556,44
440,4,6,9,0.4444444444444444,0.6666666666666666,441
401,4,7,9,0.4444444444444444,0.7777777777777778,402
71,9,9,9,1.0,1.0,72
536,3,3,9,0.3333333333333333,0.3333333333333333,537
