,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
26,571,616,1343,0.4251675353685778,0.45867460908414,274
42,722,741,1257,0.5743834526650756,0.5894988066825776,68
79,446,501,1052,0.42395437262357416,0.4762357414448669,288
39,387,471,1043,0.3710450623202301,0.45158197507190795,249
13,377,456,974,0.3870636550308008,0.4681724845995893,182
3,321,424,936,0.34294871794871795,0.452991452991453,298
64,400,470,901,0.4439511653718091,0.5216426193118757,177
23,293,365,859,0.3410942956926659,0.42491268917345754,232
11,347,419,809,0.4289245982694685,0.5179233621755254,414
73,99,167,743,0.13324360699865412,0.22476446837146702,599
57,256,327,719,0.3560500695410292,0.45479833101529904,105
104,264,335,700,0.37714285714285717,0.4785714285714286,19
29,317,378,674,0.47032640949554894,0.5608308605341247,305
52,169,244,643,0.26283048211508553,0.37947122861586313,111
135,121,178,632,0.19145569620253164,0.28164556962025317,474
7,197,267,610,0.32295081967213113,0.4377049180327869,217
17,241,291,605,0.39834710743801655,0.4809917355371901,140
46,345,375,572,0.6031468531468531,0.6555944055944056,91
139,233,301,567,0.4109347442680776,0.5308641975308642,28
119,49,78,559,0.08765652951699464,0.13953488372093023,448
88,328,384,525,0.6247619047619047,0.7314285714285714,219
75,66,105,515,0.12815533980582525,0.20388349514563106,89
113,352,418,514,0.6848249027237354,0.8132295719844358,64
37,292,342,504,0.5793650793650794,0.6785714285714286,226
111,273,335,499,0.5470941883767535,0.6713426853707415,18
8,245,302,473,0.5179704016913319,0.638477801268499,57
105,212,265,443,0.4785553047404063,0.5981941309255079,292
9,180,240,440,0.4090909090909091,0.5454545454545454,21
82,192,254,437,0.43935926773455375,0.5812356979405034,42
118,203,257,434,0.46774193548387094,0.5921658986175116,160
1,142,203,434,0.3271889400921659,0.46774193548387094,294
5,156,216,400,0.39,0.54,202
140,172,207,400,0.43,0.5175,275
99,255,293,396,0.6439393939393939,0.73989898989899,45
112,173,213,395,0.4379746835443038,0.5392405063291139,156
0,42,76,390,0.1076923076923077,0.19487179487179487,610
41,210,265,374,0.5614973262032086,0.7085561497326203,103
171,108,174,365,0.2958904109589041,0.4767123287671233,380
121,160,216,363,0.44077134986225897,0.5950413223140496,62
120,192,233,360,0.5333333333333333,0.6472222222222223,199
15,89,128,357,0.24929971988795518,0.3585434173669468,125
44,124,181,356,0.34831460674157305,0.5084269662921348,51
191,208,257,344,0.6046511627906976,0.747093023255814,132
134,170,209,342,0.49707602339181284,0.6111111111111112,66
50,95,132,334,0.2844311377245509,0.39520958083832336,606
70,213,263,331,0.6435045317220544,0.7945619335347432,200
110,138,174,328,0.42073170731707316,0.5304878048780488,221
202,99,134,311,0.3183279742765273,0.43086816720257237,6
74,63,90,308,0.20454545454545456,0.2922077922077922,387
67,109,135,307,0.3550488599348534,0.43973941368078173,50
131,107,134,292,0.3664383561643836,0.4589041095890411,307
16,115,156,290,0.39655172413793105,0.5379310344827586,84
242,152,202,289,0.5259515570934256,0.698961937716263,122
54,52,83,282,0.18439716312056736,0.29432624113475175,603
232,158,190,276,0.572463768115942,0.6884057971014492,135
28,229,253,276,0.8297101449275363,0.9166666666666666,239
157,121,156,270,0.44814814814814813,0.5777777777777777,104
243,195,230,268,0.7276119402985075,0.8582089552238806,63
224,141,174,266,0.5300751879699248,0.6541353383458647,169
223,86,124,264,0.32575757575757575,0.4696969696969697,290
123,20,38,263,0.07604562737642585,0.1444866920152091,318
77,125,152,255,0.49019607843137253,0.596078431372549,187
185,207,220,250,0.828,0.88,480
