,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,0,0,0.0,0.0,429
1,2,3,0.4,0.3,107
2,2,3,0.4,0.3,191
3,2,2,0.4,0.2,99
4,3,6,0.6,0.6,54
5,0,0,0.0,0.0,35
6,2,3,0.4,0.3,468
7,2,3,0.4,0.3,353
8,1,2,0.2,0.2,40
9,1,2,0.2,0.2,604
10,1,1,0.2,0.1,145
11,1,2,0.2,0.2,136
12,2,3,0.4,0.3,130
13,3,7,0.6,0.7,444
14,3,6,0.6,0.6,284
15,2,6,0.4,0.6,536
16,2,3,0.4,0.3,134
17,3,6,0.6,0.6,436
18,2,2,0.4,0.2,242
19,4,9,0.8,0.9,314
20,2,3,0.4,0.3,574
21,4,6,0.8,0.6,385
22,2,5,0.4,0.5,349
23,2,3,0.4,0.3,46
24,3,6,0.6,0.6,584
25,3,5,0.6,0.5,476
26,3,5,0.6,0.5,192
27,4,7,0.8,0.7,14
28,3,7,0.6,0.7,411
29,3,6,0.6,0.6,541
30,2,4,0.4,0.4,273
31,3,6,0.6,0.6,56
32,4,6,0.8,0.6,102
33,3,7,0.6,0.7,455
34,3,4,0.6,0.4,162
35,4,8,0.8,0.8,229
36,2,2,0.4,0.2,26
37,4,7,0.8,0.7,447
38,1,3,0.2,0.3,243
39,4,7,0.8,0.7,592
40,2,3,0.4,0.3,485
41,3,6,0.6,0.6,404
42,3,6,0.6,0.6,142
43,2,5,0.4,0.5,507
44,1,3,0.2,0.3,394
45,3,5,0.6,0.5,498
46,3,7,0.6,0.7,588
47,3,6,0.6,0.6,8
48,3,6,0.6,0.6,486
49,2,4,0.4,0.4,176
50,2,2,0.4,0.2,262
51,4,6,0.8,0.6,170
52,4,9,0.8,0.9,602
53,4,7,0.8,0.7,179
54,4,8,0.8,0.8,109
55,4,7,0.8,0.7,38
56,4,8,0.8,0.8,235
57,4,8,0.8,0.8,512
58,1,5,0.2,0.5,395
59,2,5,0.4,0.5,386
