,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,903,904,2695,0.33506493506493507,0.3354359925788497,414
564,760,786,2475,0.30707070707070705,0.31757575757575757,599
195,545,615,2105,0.2589073634204275,0.2921615201900237,474
228,527,593,1861,0.2831810854379366,0.3186458893068243,448
321,573,616,1343,0.426656738644825,0.45867460908414,274
543,353,441,1299,0.27174749807544263,0.3394919168591224,610
307,725,741,1257,0.5767700875099443,0.5894988066825776,68
556,473,534,1215,0.3893004115226337,0.43950617283950616,380
322,329,390,1112,0.295863309352518,0.35071942446043164,606
206,452,500,1052,0.4296577946768061,0.4752851711026616,288
438,398,469,1043,0.3815915627996165,0.44966442953020136,249
268,326,395,1024,0.318359375,0.3857421875,387
256,384,456,974,0.3942505133470226,0.4681724845995893,182
333,415,466,972,0.4269547325102881,0.4794238683127572,307
165,248,327,940,0.26382978723404255,0.3478723404255319,603
506,336,428,936,0.358974358974359,0.45726495726495725,298
483,400,473,901,0.4439511653718091,0.5249722530521642,177
364,289,355,876,0.3299086757990868,0.4052511415525114,318
261,293,364,859,0.3410942956926659,0.42374854481955765,232
327,503,543,833,0.6038415366146459,0.6518607442977191,480
289,452,515,828,0.5458937198067633,0.6219806763285024,608
371,354,418,760,0.46578947368421053,0.55,600
380,466,505,725,0.6427586206896552,0.696551724137931,590
325,443,482,725,0.6110344827586207,0.6648275862068965,483
500,256,331,719,0.3560500695410292,0.4603616133518776,105
181,254,336,700,0.3628571428571429,0.48,19
525,311,378,674,0.46142433234421365,0.5608308605341247,305
427,389,431,645,0.6031007751937985,0.6682170542635659,489
582,171,247,643,0.26594090202177295,0.38413685847589424,111
273,291,355,632,0.46044303797468356,0.5617088607594937,438
166,194,270,610,0.3180327868852459,0.4426229508196721,217
149,239,292,605,0.3950413223140496,0.4826446280991736,140
342,315,369,597,0.5276381909547738,0.6180904522613065,477
207,196,255,575,0.3408695652173913,0.4434782608695652,555
288,344,374,572,0.6013986013986014,0.6538461538461539,91
367,232,298,567,0.4091710758377425,0.5255731922398589,28
339,324,384,525,0.6171428571428571,0.7314285714285714,219
524,209,259,517,0.40425531914893614,0.5009671179883946,534
587,77,105,515,0.14951456310679612,0.20388349514563106,89
311,348,416,514,0.6770428015564203,0.8093385214007782,64
269,299,341,504,0.5932539682539683,0.6765873015873016,226
554,323,368,502,0.6434262948207171,0.7330677290836654,561
518,284,337,499,0.5691382765531062,0.6753507014028056,18
541,272,335,497,0.5472837022132797,0.6740442655935613,525
182,249,297,473,0.5264270613107822,0.627906976744186,57
316,285,335,471,0.6050955414012739,0.7112526539278131,381
189,181,232,466,0.388412017167382,0.4978540772532189,368
486,173,225,464,0.3728448275862069,0.4849137931034483,509
179,230,289,462,0.49783549783549785,0.6255411255411255,469
537,242,295,455,0.5318681318681319,0.6483516483516484,560
294,149,186,452,0.32964601769911506,0.41150442477876104,462
193,217,267,443,0.4898419864559819,0.6027088036117382,292
452,179,243,440,0.4068181818181818,0.5522727272727272,21
143,191,247,440,0.4340909090909091,0.5613636363636364,597
217,192,245,437,0.43935926773455375,0.5606407322654462,42
183,140,201,434,0.3225806451612903,0.4631336405529954,294
188,206,255,434,0.47465437788018433,0.5875576036866359,160
319,263,300,433,0.6073903002309469,0.6928406466512702,580
607,197,259,408,0.48284313725490197,0.6348039215686274,596
201,167,216,400,0.4175,0.54,202
251,171,210,400,0.4275,0.525,275
549,185,231,397,0.4659949622166247,0.5818639798488665,517
161,253,291,396,0.6388888888888888,0.7348484848484849,45
140,175,213,395,0.4430379746835443,0.5392405063291139,156
601,154,208,394,0.39086294416243655,0.5279187817258884,514
233,208,246,383,0.5430809399477807,0.6422976501305483,391
592,76,107,382,0.19895287958115182,0.2801047120418848,567
440,229,276,380,0.6026315789473684,0.7263157894736842,357
481,211,265,374,0.5641711229946524,0.7085561497326203,103
526,181,233,368,0.49184782608695654,0.6331521739130435,339
588,164,218,363,0.45179063360881544,0.6005509641873278,62
144,184,232,360,0.5111111111111111,0.6444444444444445,199
540,93,124,357,0.2605042016806723,0.3473389355742297,125
363,125,183,356,0.351123595505618,0.5140449438202247,51
306,207,255,344,0.6017441860465116,0.7412790697674418,132
266,181,212,342,0.5292397660818714,0.6198830409356725,66
232,176,217,337,0.5222551928783383,0.6439169139465876,313
360,214,268,331,0.6465256797583081,0.8096676737160121,200
280,133,174,328,0.4054878048780488,0.5304878048780488,221
72,101,137,311,0.3247588424437299,0.4405144694533762,6
191,179,215,308,0.5811688311688312,0.698051948051948,453
580,99,131,307,0.32247557003257327,0.42671009771986973,50
264,237,259,303,0.7821782178217822,0.8547854785478548,425
282,178,225,297,0.5993265993265994,0.7575757575757576,428
334,218,246,296,0.7364864864864865,0.831081081081081,573
557,128,171,291,0.43986254295532645,0.5876288659793815,352
109,114,155,290,0.3931034482758621,0.5344827586206896,84
529,154,204,289,0.532871972318339,0.7058823529411765,122
581,88,126,288,0.3055555555555556,0.4375,382
359,173,208,286,0.6048951048951049,0.7272727272727273,356
226,166,192,276,0.6014492753623188,0.6956521739130435,135
353,236,252,276,0.855072463768116,0.9130434782608695,239
551,112,132,274,0.40875912408759124,0.48175182481751827,365
434,109,170,272,0.4007352941176471,0.625,484
250,125,154,270,0.46296296296296297,0.5703703703703704,104
495,197,229,268,0.7350746268656716,0.8544776119402985,63
240,94,128,267,0.352059925093633,0.4794007490636704,325
259,142,171,266,0.5338345864661654,0.6428571428571429,169
443,169,199,264,0.6401515151515151,0.7537878787878788,332
202,88,124,264,0.3333333333333333,0.4696969696969697,290
521,125,177,262,0.4770992366412214,0.6755725190839694,495
415,143,172,257,0.556420233463035,0.669260700389105,432
312,125,152,255,0.49019607843137253,0.596078431372549,187
558,207,227,252,0.8214285714285714,0.9007936507936508,328
460,125,151,247,0.5060728744939271,0.611336032388664,222
553,116,154,245,0.47346938775510206,0.6285714285714286,212
395,219,229,244,0.8975409836065574,0.9385245901639344,330
255,92,137,239,0.38493723849372385,0.5732217573221757,20
455,177,202,234,0.7564102564102564,0.8632478632478633,282
122,115,143,233,0.49356223175965663,0.6137339055793991,372
389,207,214,230,0.9,0.9304347826086956,434
177,124,154,229,0.5414847161572053,0.6724890829694323,1
276,85,109,229,0.37117903930131,0.4759825327510917,594
451,112,151,228,0.49122807017543857,0.6622807017543859,562
237,145,162,227,0.6387665198237885,0.7136563876651982,198
263,120,150,224,0.5357142857142857,0.6696428571428571,82
341,187,212,223,0.8385650224215246,0.9506726457399103,354
234,110,140,223,0.49327354260089684,0.6278026905829597,186
243,108,141,220,0.4909090909090909,0.6409090909090909,312
392,81,100,218,0.37155963302752293,0.45871559633027525,605
522,128,156,214,0.5981308411214953,0.7289719626168224,41
156,91,117,213,0.4272300469483568,0.5492957746478874,4
123,136,166,213,0.6384976525821596,0.7793427230046949,304
485,89,124,212,0.419811320754717,0.5849056603773585,119
492,33,58,210,0.15714285714285714,0.2761904761904762,563
531,75,118,207,0.36231884057971014,0.5700483091787439,73
145,127,152,207,0.6135265700483091,0.7342995169082126,263
595,97,120,205,0.47317073170731705,0.5853658536585366,586
361,149,160,204,0.7303921568627451,0.7843137254901961,220
444,95,122,201,0.472636815920398,0.6069651741293532,246
227,137,162,199,0.6884422110552764,0.8140703517587939,452
222,89,112,199,0.4472361809045226,0.5628140703517588,234
21,105,133,198,0.5303030303030303,0.6717171717171717,385
379,124,147,197,0.6294416243654822,0.7461928934010152,522
439,94,120,193,0.48704663212435234,0.6217616580310881,280
516,77,125,191,0.4031413612565445,0.6544502617801047,139
330,173,177,188,0.9202127659574468,0.9414893617021277,570
336,148,164,187,0.7914438502673797,0.8770053475935828,166
478,106,139,186,0.5698924731182796,0.7473118279569892,317
281,100,135,185,0.5405405405405406,0.7297297297297297,552
197,101,126,184,0.5489130434782609,0.6847826086956522,195
175,106,130,184,0.5760869565217391,0.7065217391304348,607
422,120,139,183,0.6557377049180327,0.7595628415300546,520
218,79,103,182,0.4340659340659341,0.5659340659340659,367
239,46,70,178,0.25842696629213485,0.39325842696629215,479
152,119,143,177,0.672316384180791,0.807909604519774,266
593,96,115,176,0.5454545454545454,0.6534090909090909,153
347,38,61,174,0.21839080459770116,0.3505747126436782,74
574,106,130,173,0.6127167630057804,0.7514450867052023,279
501,71,105,171,0.4152046783625731,0.6140350877192983,256
304,115,133,170,0.6764705882352942,0.7823529411764706,167
578,145,161,165,0.8787878787878788,0.9757575757575757,141
244,82,102,165,0.49696969696969695,0.6181818181818182,95
609,104,148,165,0.6303030303030303,0.896969696969697,331
453,69,101,164,0.42073170731707316,0.6158536585365854,80
211,50,68,164,0.3048780487804878,0.4146341463414634,410
236,72,100,164,0.43902439024390244,0.6097560975609756,527
66,104,128,162,0.6419753086419753,0.7901234567901234,117
163,67,98,162,0.41358024691358025,0.6049382716049383,587
267,60,78,161,0.37267080745341613,0.484472049689441,346
198,63,90,161,0.391304347826087,0.5590062111801242,216
178,69,90,160,0.43125,0.5625,265
158,83,113,158,0.5253164556962026,0.7151898734177216,577
542,31,50,154,0.2012987012987013,0.3246753246753247,564
139,60,86,153,0.39215686274509803,0.5620915032679739,33
562,91,113,152,0.5986842105263158,0.743421052631579,475
417,78,97,152,0.5131578947368421,0.6381578947368421,419
157,83,102,152,0.5460526315789473,0.6710526315789473,572
357,101,121,151,0.6688741721854304,0.8013245033112583,334
274,96,112,149,0.6442953020134228,0.7516778523489933,7
419,53,75,149,0.35570469798657717,0.5033557046979866,326
277,54,77,149,0.3624161073825503,0.5167785234899329,260
278,80,95,149,0.5369127516778524,0.6375838926174496,287
208,39,62,147,0.2653061224489796,0.4217687074829932,113
535,122,137,147,0.8299319727891157,0.9319727891156463,247
508,96,111,147,0.6530612244897959,0.7551020408163265,233
270,81,95,145,0.5586206896551724,0.6551724137931034,100
534,60,81,138,0.43478260869565216,0.5869565217391305,408
351,75,90,138,0.5434782608695652,0.6521739130434783,420
421,49,66,138,0.35507246376811596,0.4782608695652174,351
346,79,99,138,0.572463768115942,0.717391304347826,137
318,109,125,137,0.7956204379562044,0.9124087591240876,129
519,41,66,137,0.29927007299270075,0.48175182481751827,10
71,90,105,137,0.656934306569343,0.7664233576642335,559
560,57,73,137,0.41605839416058393,0.5328467153284672,47
340,115,123,136,0.8455882352941176,0.9044117647058824,230
391,87,97,135,0.6444444444444445,0.7185185185185186,464
520,77,95,135,0.5703703703703704,0.7037037037037037,424
