,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,96,155,539,0.17810760667903525,0.287569573283859,414
598,24,53,495,0.048484848484848485,0.10707070707070707,599
473,17,36,421,0.040380047505938245,0.0855106888361045,474
447,40,80,372,0.10752688172043011,0.21505376344086022,448
273,39,65,269,0.1449814126394052,0.241635687732342,274
609,47,74,260,0.18076923076923077,0.2846153846153846,610
67,37,57,252,0.14682539682539683,0.2261904761904762,68
379,48,83,243,0.19753086419753085,0.34156378600823045,380
605,20,26,223,0.08968609865470852,0.11659192825112108,606
287,17,31,211,0.08056872037914692,0.14691943127962084,288
248,59,90,209,0.2822966507177033,0.430622009569378,249
386,24,40,205,0.11707317073170732,0.1951219512195122,387
181,15,30,195,0.07692307692307693,0.15384615384615385,182
306,22,37,195,0.11282051282051282,0.18974358974358974,307
602,14,26,188,0.07446808510638298,0.13829787234042554,603
297,23,32,187,0.12299465240641712,0.1711229946524064,298
176,21,36,180,0.11666666666666667,0.2,177
317,15,19,175,0.08571428571428572,0.10857142857142857,318
231,29,37,172,0.1686046511627907,0.21511627906976744,232
479,18,32,167,0.10778443113772455,0.19161676646706588,480
607,15,30,166,0.09036144578313253,0.18072289156626506,608
599,16,22,152,0.10526315789473684,0.14473684210526316,600
589,16,23,145,0.1103448275862069,0.15862068965517243,590
482,18,26,145,0.12413793103448276,0.1793103448275862,483
104,5,11,144,0.034722222222222224,0.0763888888888889,105
18,21,34,140,0.15,0.24285714285714285,19
304,33,48,135,0.24444444444444444,0.35555555555555557,305
488,26,38,129,0.20155038759689922,0.29457364341085274,489
110,13,24,129,0.10077519379844961,0.18604651162790697,111
437,13,20,127,0.10236220472440945,0.15748031496062992,438
216,10,17,122,0.08196721311475409,0.13934426229508196,217
139,14,20,121,0.11570247933884298,0.1652892561983471,140
476,18,27,120,0.15,0.225,477
554,12,20,115,0.10434782608695652,0.17391304347826086,555
90,13,14,115,0.11304347826086956,0.12173913043478261,91
27,14,30,114,0.12280701754385964,0.2631578947368421,28
218,16,19,105,0.1523809523809524,0.18095238095238095,219
533,24,37,104,0.23076923076923078,0.3557692307692308,534
63,12,16,103,0.11650485436893204,0.1553398058252427,64
88,0,1,103,0.0,0.009708737864077669,89
560,21,26,101,0.2079207920792079,0.25742574257425743,561
225,6,16,101,0.0594059405940594,0.15841584158415842,226
17,12,20,100,0.12,0.2,18
524,10,19,100,0.1,0.19,525
56,9,17,95,0.09473684210526316,0.17894736842105263,57
380,16,25,94,0.1702127659574468,0.26595744680851063,381
367,21,34,93,0.22580645161290322,0.3655913978494624,368
508,13,18,93,0.13978494623655913,0.1935483870967742,509
468,3,5,93,0.03225806451612903,0.053763440860215055,469
559,12,16,91,0.13186813186813187,0.17582417582417584,560
461,15,19,91,0.16483516483516483,0.2087912087912088,462
291,15,24,89,0.16853932584269662,0.2696629213483146,292
20,25,35,88,0.2840909090909091,0.3977272727272727,21
41,8,14,88,0.09090909090909091,0.1590909090909091,42
596,13,30,88,0.14772727272727273,0.3409090909090909,597
159,18,24,87,0.20689655172413793,0.27586206896551724,160
