,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,67,116,539,0.12430426716141002,0.21521335807050093,414
598,25,53,495,0.050505050505050504,0.10707070707070707,599
473,22,45,421,0.052256532066508314,0.10688836104513064,474
447,34,63,372,0.0913978494623656,0.1693548387096774,448
273,32,60,269,0.11895910780669144,0.22304832713754646,274
609,42,60,260,0.16153846153846155,0.23076923076923078,610
67,19,37,252,0.07539682539682539,0.14682539682539683,68
379,46,67,243,0.18930041152263374,0.2757201646090535,380
605,16,34,223,0.07174887892376682,0.15246636771300448,606
287,8,24,211,0.037914691943127965,0.11374407582938388,288
248,59,80,209,0.2822966507177033,0.3827751196172249,249
386,15,30,205,0.07317073170731707,0.14634146341463414,387
181,16,29,195,0.08205128205128205,0.14871794871794872,182
306,16,26,195,0.08205128205128205,0.13333333333333333,307
602,7,24,188,0.03723404255319149,0.1276595744680851,603
297,17,30,187,0.09090909090909091,0.16042780748663102,298
176,18,26,180,0.1,0.14444444444444443,177
317,8,13,175,0.045714285714285714,0.07428571428571429,318
231,22,31,172,0.12790697674418605,0.18023255813953487,232
479,18,28,167,0.10778443113772455,0.16766467065868262,480
607,12,22,166,0.07228915662650602,0.13253012048192772,608
599,10,18,152,0.06578947368421052,0.11842105263157894,600
589,19,29,145,0.1310344827586207,0.2,590
482,13,25,145,0.0896551724137931,0.1724137931034483,483
104,11,13,144,0.0763888888888889,0.09027777777777778,105
18,26,35,140,0.18571428571428572,0.25,19
304,35,44,135,0.25925925925925924,0.32592592592592595,305
488,19,30,129,0.14728682170542637,0.23255813953488372,489
110,13,25,129,0.10077519379844961,0.1937984496124031,111
437,8,18,127,0.06299212598425197,0.14173228346456693,438
216,12,17,122,0.09836065573770492,0.13934426229508196,217
139,13,22,121,0.10743801652892562,0.18181818181818182,140
476,15,24,120,0.125,0.2,477
554,13,24,115,0.11304347826086956,0.20869565217391303,555
90,10,16,115,0.08695652173913043,0.1391304347826087,91
27,17,26,114,0.14912280701754385,0.22807017543859648,28
218,14,21,105,0.13333333333333333,0.2,219
533,20,33,104,0.19230769230769232,0.3173076923076923,534
63,9,13,103,0.08737864077669903,0.1262135922330097,64
88,4,6,103,0.038834951456310676,0.05825242718446602,89
560,14,25,101,0.13861386138613863,0.24752475247524752,561
225,7,16,101,0.06930693069306931,0.15841584158415842,226
17,13,23,100,0.13,0.23,18
524,5,9,100,0.05,0.09,525
56,13,17,95,0.1368421052631579,0.17894736842105263,57
380,17,27,94,0.18085106382978725,0.2872340425531915,381
367,20,36,93,0.21505376344086022,0.3870967741935484,368
508,2,7,93,0.021505376344086023,0.07526881720430108,509
468,3,7,93,0.03225806451612903,0.07526881720430108,469
559,6,13,91,0.06593406593406594,0.14285714285714285,560
461,9,16,91,0.0989010989010989,0.17582417582417584,462
291,13,21,89,0.14606741573033707,0.23595505617977527,292
20,20,30,88,0.22727272727272727,0.3409090909090909,21
41,6,14,88,0.06818181818181818,0.1590909090909091,42
596,10,25,88,0.11363636363636363,0.2840909090909091,597
159,15,20,87,0.1724137931034483,0.22988505747126436,160
579,18,35,87,0.20689655172413793,0.40229885057471265,580
293,20,31,87,0.22988505747126436,0.3563218390804598,294
595,3,7,82,0.036585365853658534,0.08536585365853659,596
516,10,12,80,0.125,0.15,517
274,2,4,80,0.025,0.05,275
201,4,8,80,0.05,0.1,202
513,5,10,79,0.06329113924050633,0.12658227848101267,514
44,7,9,79,0.08860759493670886,0.11392405063291139,45
155,4,8,79,0.05063291139240506,0.10126582278481013,156
566,32,34,77,0.4155844155844156,0.44155844155844154,567
390,5,6,77,0.06493506493506493,0.07792207792207792,391
356,4,5,76,0.05263157894736842,0.06578947368421052,357
102,6,14,75,0.08,0.18666666666666668,103
338,12,20,74,0.16216216216216217,0.2702702702702703,339
61,12,18,73,0.1643835616438356,0.2465753424657534,62
198,6,11,72,0.08333333333333333,0.1527777777777778,199
124,4,11,72,0.05555555555555555,0.1527777777777778,125
50,5,8,71,0.07042253521126761,0.11267605633802817,51
131,4,10,69,0.057971014492753624,0.14492753623188406,132
65,4,6,69,0.057971014492753624,0.08695652173913043,66
312,7,10,68,0.10294117647058823,0.14705882352941177,313
220,2,9,66,0.030303030303030304,0.13636363636363635,221
199,7,12,66,0.10606060606060606,0.18181818181818182,200
5,3,9,62,0.04838709677419355,0.14516129032258066,6
49,13,17,62,0.20967741935483872,0.27419354838709675,50
452,6,9,62,0.0967741935483871,0.14516129032258066,453
424,5,11,61,0.08196721311475409,0.18032786885245902,425
427,8,13,60,0.13333333333333333,0.21666666666666667,428
572,14,21,59,0.23728813559322035,0.3559322033898305,573
121,3,4,58,0.05172413793103448,0.06896551724137931,122
83,5,6,58,0.08620689655172414,0.10344827586206896,84
381,12,19,58,0.20689655172413793,0.3275862068965517,382
351,9,15,58,0.15517241379310345,0.25862068965517243,352
