,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,102,166,539,0.18923933209647495,0.3079777365491651,414
598,28,51,495,0.05656565656565657,0.10303030303030303,599
473,21,38,421,0.0498812351543943,0.09026128266033254,474
447,86,135,372,0.23118279569892472,0.3629032258064516,448
273,39,73,269,0.1449814126394052,0.27137546468401486,274
609,54,90,260,0.2076923076923077,0.34615384615384615,610
67,14,38,252,0.05555555555555555,0.15079365079365079,68
379,51,71,243,0.20987654320987653,0.29218106995884774,380
605,16,33,223,0.07174887892376682,0.14798206278026907,606
287,28,48,211,0.13270142180094788,0.22748815165876776,288
248,45,72,209,0.215311004784689,0.3444976076555024,249
386,22,37,205,0.1073170731707317,0.18048780487804877,387
181,19,34,195,0.09743589743589744,0.17435897435897435,182
306,14,26,195,0.07179487179487179,0.13333333333333333,307
602,19,29,188,0.10106382978723404,0.15425531914893617,603
297,23,35,187,0.12299465240641712,0.18716577540106952,298
176,20,36,180,0.1111111111111111,0.2,177
317,9,17,175,0.05142857142857143,0.09714285714285714,318
231,24,43,172,0.13953488372093023,0.25,232
479,22,40,167,0.1317365269461078,0.23952095808383234,480
607,22,38,166,0.13253012048192772,0.2289156626506024,608
599,13,24,152,0.08552631578947369,0.15789473684210525,600
589,11,20,145,0.07586206896551724,0.13793103448275862,590
482,17,30,145,0.11724137931034483,0.20689655172413793,483
104,5,10,144,0.034722222222222224,0.06944444444444445,105
18,21,40,140,0.15,0.2857142857142857,19
304,24,39,135,0.17777777777777778,0.28888888888888886,305
488,21,33,129,0.16279069767441862,0.2558139534883721,489
110,9,23,129,0.06976744186046512,0.17829457364341086,111
437,12,25,127,0.09448818897637795,0.1968503937007874,438
216,9,14,122,0.07377049180327869,0.11475409836065574,217
139,13,19,121,0.10743801652892562,0.15702479338842976,140
476,11,20,120,0.09166666666666666,0.16666666666666666,477
554,12,17,115,0.10434782608695652,0.14782608695652175,555
90,11,15,115,0.09565217391304348,0.13043478260869565,91
27,21,29,114,0.18421052631578946,0.2543859649122807,28
218,15,23,105,0.14285714285714285,0.21904761904761905,219
533,19,28,104,0.18269230769230768,0.2692307692307692,534
63,13,23,103,0.1262135922330097,0.22330097087378642,64
88,2,5,103,0.019417475728155338,0.04854368932038835,89
560,13,22,101,0.12871287128712872,0.21782178217821782,561
225,11,17,101,0.10891089108910891,0.16831683168316833,226
17,20,31,100,0.2,0.31,18
524,6,11,100,0.06,0.11,525
56,12,19,95,0.12631578947368421,0.2,57
380,19,28,94,0.20212765957446807,0.2978723404255319,381
367,19,33,93,0.20430107526881722,0.3548387096774194,368
508,10,17,93,0.10752688172043011,0.1827956989247312,509
468,6,8,93,0.06451612903225806,0.08602150537634409,469
559,12,19,91,0.13186813186813187,0.2087912087912088,560
461,12,19,91,0.13186813186813187,0.2087912087912088,462
291,17,29,89,0.19101123595505617,0.3258426966292135,292
20,21,29,88,0.23863636363636365,0.32954545454545453,21
41,10,14,88,0.11363636363636363,0.1590909090909091,42
596,10,21,88,0.11363636363636363,0.23863636363636365,597
159,16,29,87,0.1839080459770115,0.3333333333333333,160
579,23,36,87,0.26436781609195403,0.41379310344827586,580
293,11,20,87,0.12643678160919541,0.22988505747126436,294
595,6,10,82,0.07317073170731707,0.12195121951219512,596
516,9,12,80,0.1125,0.15,517
274,2,5,80,0.025,0.0625,275
201,6,7,80,0.075,0.0875,202
513,9,11,79,0.11392405063291139,0.13924050632911392,514
44,15,23,79,0.189873417721519,0.2911392405063291,45
155,5,11,79,0.06329113924050633,0.13924050632911392,156
566,21,32,77,0.2727272727272727,0.4155844155844156,567
390,4,10,77,0.05194805194805195,0.12987012987012986,391
356,5,13,76,0.06578947368421052,0.17105263157894737,357
102,8,14,75,0.10666666666666667,0.18666666666666668,103
338,15,23,74,0.20270270270270271,0.3108108108108108,339
61,15,19,73,0.2054794520547945,0.2602739726027397,62
198,8,12,72,0.1111111111111111,0.16666666666666666,199
124,16,20,72,0.2222222222222222,0.2777777777777778,125
50,4,11,71,0.056338028169014086,0.15492957746478872,51
131,6,13,69,0.08695652173913043,0.18840579710144928,132
65,4,9,69,0.057971014492753624,0.13043478260869565,66
312,7,12,68,0.10294117647058823,0.17647058823529413,313
220,7,10,66,0.10606060606060606,0.15151515151515152,221
199,7,13,66,0.10606060606060606,0.19696969696969696,200
5,5,10,62,0.08064516129032258,0.16129032258064516,6
49,5,10,62,0.08064516129032258,0.16129032258064516,50
452,7,11,62,0.11290322580645161,0.1774193548387097,453
424,10,13,61,0.16393442622950818,0.21311475409836064,425
427,11,16,60,0.18333333333333332,0.26666666666666666,428
572,14,20,59,0.23728813559322035,0.3389830508474576,573
121,1,5,58,0.017241379310344827,0.08620689655172414,122
83,4,9,58,0.06896551724137931,0.15517241379310345,84
381,9,16,58,0.15517241379310345,0.27586206896551724,382
351,12,18,58,0.20689655172413793,0.3103448275862069,352
355,4,9,57,0.07017543859649122,0.15789473684210525,356
238,10,19,55,0.18181818181818182,0.34545454545454546,239
483,6,9,55,0.10909090909090909,0.16363636363636364,484
134,7,8,55,0.12727272727272726,0.14545454545454545,135
364,4,8,55,0.07272727272727272,0.14545454545454545,365
103,2,9,54,0.037037037037037035,0.16666666666666666,104
62,3,9,54,0.05555555555555555,0.16666666666666666,63
324,7,9,54,0.12962962962962962,0.16666666666666666,325
168,9,12,53,0.16981132075471697,0.22641509433962265,169
289,4,10,53,0.07547169811320754,0.18867924528301888,290
331,11,14,53,0.20754716981132076,0.2641509433962264,332
494,6,11,53,0.11320754716981132,0.20754716981132076,495
431,12,21,52,0.23076923076923078,0.40384615384615385,432
186,7,11,51,0.13725490196078433,0.21568627450980393,187
327,5,6,51,0.09803921568627451,0.11764705882352941,328
221,7,10,50,0.14,0.2,222
329,8,13,49,0.16326530612244897,0.2653061224489796,330
211,17,21,49,0.3469387755102041,0.42857142857142855,212
19,7,14,48,0.14583333333333334,0.2916666666666667,20
281,3,5,47,0.06382978723404255,0.10638297872340426,282
371,10,11,47,0.2127659574468085,0.23404255319148937,372
433,9,11,46,0.1956521739130435,0.2391304347826087,434
561,6,12,46,0.13043478260869565,0.2608695652173913,562
197,8,12,46,0.17391304347826086,0.2608695652173913,198
0,10,13,46,0.21739130434782608,0.2826086956521739,1
593,9,15,46,0.1956521739130435,0.32608695652173914,594
353,10,15,45,0.2222222222222222,0.3333333333333333,354
81,7,12,45,0.15555555555555556,0.26666666666666666,82
185,7,13,45,0.15555555555555556,0.28888888888888886,186
604,8,19,44,0.18181818181818182,0.4318181818181818,605
311,6,11,44,0.13636363636363635,0.25,312
303,11,13,43,0.2558139534883721,0.3023255813953488,304
3,1,6,43,0.023255813953488372,0.13953488372093023,4
118,13,19,43,0.3023255813953488,0.4418604651162791,119
40,10,14,43,0.23255813953488372,0.32558139534883723,41
562,7,8,42,0.16666666666666666,0.19047619047619047,563
72,11,21,42,0.2619047619047619,0.5,73
262,7,12,42,0.16666666666666666,0.2857142857142857,263
585,6,10,41,0.14634146341463414,0.24390243902439024,586
219,10,13,41,0.24390243902439024,0.3170731707317073,220
384,2,4,40,0.05,0.1,385
245,5,9,40,0.125,0.225,246
233,3,8,40,0.075,0.2,234
451,5,12,40,0.125,0.3,452
521,9,16,40,0.225,0.4,522
279,5,6,39,0.1282051282051282,0.15384615384615385,280
165,7,10,38,0.18421052631578946,0.2631578947368421,166
138,13,18,38,0.34210526315789475,0.47368421052631576,139
569,10,14,38,0.2631578947368421,0.3684210526315789,570
316,6,7,37,0.16216216216216217,0.1891891891891892,317
551,1,5,37,0.02702702702702703,0.13513513513513514,552
519,4,7,37,0.10810810810810811,0.1891891891891892,520
366,4,7,37,0.10810810810810811,0.1891891891891892,367
194,5,7,37,0.13513513513513514,0.1891891891891892,195
606,3,8,37,0.08108108108108109,0.21621621621621623,607
478,4,8,36,0.1111111111111111,0.2222222222222222,479
265,10,16,36,0.2777777777777778,0.4444444444444444,266
278,11,14,35,0.3142857142857143,0.4,279
73,3,4,35,0.08571428571428572,0.11428571428571428,74
152,6,15,35,0.17142857142857143,0.42857142857142855,153
166,8,9,34,0.23529411764705882,0.2647058823529412,167
255,1,2,34,0.029411764705882353,0.058823529411764705,256
116,5,6,33,0.15151515151515152,0.18181818181818182,117
140,1,3,33,0.030303030303030304,0.09090909090909091,141
330,6,11,33,0.18181818181818182,0.3333333333333333,331
586,4,6,33,0.12121212121212122,0.18181818181818182,587
526,7,11,33,0.21212121212121213,0.3333333333333333,527
79,8,13,33,0.24242424242424243,0.3939393939393939,80
94,6,11,33,0.18181818181818182,0.3333333333333333,95
409,2,3,33,0.06060606060606061,0.09090909090909091,410
576,0,2,32,0.0,0.0625,577
215,2,5,32,0.0625,0.15625,216
345,1,2,32,0.03125,0.0625,346
264,3,9,32,0.09375,0.28125,265
418,1,5,31,0.03225806451612903,0.16129032258064516,419
563,5,6,31,0.16129032258064516,0.1935483870967742,564
571,5,6,31,0.16129032258064516,0.1935483870967742,572
32,2,4,31,0.06451612903225806,0.12903225806451613,33
474,3,9,31,0.0967741935483871,0.2903225806451613,475
6,7,9,30,0.23333333333333334,0.3,7
232,4,7,30,0.13333333333333333,0.23333333333333334,233
246,4,7,30,0.13333333333333333,0.23333333333333334,247
259,5,6,30,0.16666666666666666,0.2,260
286,3,6,30,0.1,0.2,287
333,8,10,30,0.26666666666666666,0.3333333333333333,334
112,0,0,30,0.0,0.0,113
325,5,8,30,0.16666666666666666,0.26666666666666666,326
99,0,2,29,0.0,0.06896551724137931,100
136,1,2,28,0.03571428571428571,0.07142857142857142,137
407,8,10,28,0.2857142857142857,0.35714285714285715,408
419,7,7,28,0.25,0.25,420
558,7,11,28,0.25,0.39285714285714285,559
128,1,3,28,0.03571428571428571,0.10714285714285714,129
350,5,6,28,0.17857142857142858,0.21428571428571427,351
9,4,5,28,0.14285714285714285,0.17857142857142858,10
46,6,9,28,0.21428571428571427,0.32142857142857145,47
14,6,9,27,0.2222222222222222,0.3333333333333333,15
601,5,8,27,0.18518518518518517,0.2962962962962963,602
229,5,9,27,0.18518518518518517,0.3333333333333333,230
209,8,11,27,0.2962962962962963,0.4074074074074074,210
26,4,6,27,0.14814814814814814,0.2222222222222222,27
463,7,11,27,0.25925925925925924,0.4074074074074074,464
423,5,9,27,0.18518518518518517,0.3333333333333333,424
375,6,10,26,0.23076923076923078,0.38461538461538464,376
523,5,6,26,0.19230769230769232,0.23076923076923078,524
376,2,4,26,0.07692307692307693,0.15384615384615385,377
183,14,16,26,0.5384615384615384,0.6153846153846154,184
51,5,9,26,0.19230769230769232,0.34615384615384615,52
108,3,5,25,0.12,0.2,109
410,6,7,25,0.24,0.28,411
481,1,5,25,0.04,0.2,482
408,4,5,25,0.16,0.2,409
239,2,3,25,0.08,0.12,240
267,3,5,25,0.12,0.2,268
253,5,6,25,0.2,0.24,254
368,5,6,25,0.2,0.24,369
313,2,3,25,0.08,0.12,314
143,0,2,25,0.0,0.08,144
22,3,6,24,0.125,0.25,23
436,6,8,24,0.25,0.3333333333333333,437
491,3,4,24,0.125,0.16666666666666666,492
404,1,3,24,0.041666666666666664,0.125,405
550,5,8,24,0.20833333333333334,0.3333333333333333,551
392,13,16,24,0.5416666666666666,0.6666666666666666,393
464,2,5,23,0.08695652173913043,0.21739130434782608,465
82,2,3,23,0.08695652173913043,0.13043478260869565,83
75,2,2,23,0.08695652173913043,0.08695652173913043,76
180,1,3,23,0.043478260869565216,0.13043478260869565,181
21,5,8,23,0.21739130434782608,0.34782608695652173,22
307,1,2,23,0.043478260869565216,0.08695652173913043,308
465,3,5,22,0.13636363636363635,0.22727272727272727,466
570,2,3,22,0.09090909090909091,0.13636363636363635,571
541,3,4,22,0.13636363636363635,0.18181818181818182,542
42,2,4,22,0.09090909090909091,0.18181818181818182,43
57,0,2,22,0.0,0.09090909090909091,58
114,3,6,22,0.13636363636363635,0.2727272727272727,115
489,4,6,22,0.18181818181818182,0.2727272727272727,490
487,6,6,22,0.2727272727272727,0.2727272727272727,488
135,1,2,22,0.045454545454545456,0.09090909090909091,136
300,2,5,22,0.09090909090909091,0.22727272727272727,301
305,2,8,22,0.09090909090909091,0.36363636363636365,306
200,8,11,22,0.36363636363636365,0.5,201
23,3,4,22,0.13636363636363635,0.18181818181818182,24
58,6,8,21,0.2857142857142857,0.38095238095238093,59
509,2,7,21,0.09523809523809523,0.3333333333333333,510
321,1,3,21,0.047619047619047616,0.14285714285714285,322
435,2,2,21,0.09523809523809523,0.09523809523809523,436
16,2,5,21,0.09523809523809523,0.23809523809523808,17
361,6,8,21,0.2857142857142857,0.38095238095238093,362
285,8,9,21,0.38095238095238093,0.42857142857142855,286
372,2,5,20,0.1,0.25,373
411,2,2,20,0.1,0.1,412
308,2,4,20,0.1,0.2,309
600,2,2,20,0.1,0.1,601
592,2,4,20,0.1,0.2,593
39,1,2,20,0.05,0.1,40
603,3,5,20,0.15,0.25,604
31,5,6,20,0.25,0.3,32
38,4,4,20,0.2,0.2,39
