,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,96,162,539,0.17810760667903525,0.300556586270872,414
598,25,51,495,0.050505050505050504,0.10303030303030303,599
473,19,37,421,0.04513064133016627,0.08788598574821853,474
447,45,71,372,0.12096774193548387,0.19086021505376344,448
273,27,59,269,0.10037174721189591,0.21933085501858737,274
609,69,90,260,0.2653846153846154,0.34615384615384615,610
67,28,46,252,0.1111111111111111,0.18253968253968253,68
379,29,58,243,0.11934156378600823,0.23868312757201646,380
605,15,22,223,0.06726457399103139,0.09865470852017937,606
287,20,35,211,0.0947867298578199,0.16587677725118483,288
248,53,79,209,0.2535885167464115,0.37799043062200954,249
386,18,24,205,0.08780487804878048,0.11707317073170732,387
181,14,24,195,0.07179487179487179,0.12307692307692308,182
306,20,36,195,0.10256410256410256,0.18461538461538463,307
602,10,21,188,0.05319148936170213,0.11170212765957446,603
297,23,37,187,0.12299465240641712,0.19786096256684493,298
176,30,43,180,0.16666666666666666,0.2388888888888889,177
317,6,12,175,0.03428571428571429,0.06857142857142857,318
231,24,35,172,0.13953488372093023,0.20348837209302326,232
479,19,31,167,0.11377245508982035,0.18562874251497005,480
607,15,24,166,0.09036144578313253,0.14457831325301204,608
599,6,12,152,0.039473684210526314,0.07894736842105263,600
589,20,28,145,0.13793103448275862,0.19310344827586207,590
482,22,32,145,0.15172413793103448,0.2206896551724138,483
104,4,6,144,0.027777777777777776,0.041666666666666664,105
18,14,25,140,0.1,0.17857142857142858,19
304,28,43,135,0.2074074074074074,0.31851851851851853,305
488,23,34,129,0.17829457364341086,0.26356589147286824,489
110,29,44,129,0.2248062015503876,0.34108527131782945,111
437,11,19,127,0.08661417322834646,0.14960629921259844,438
216,19,33,122,0.1557377049180328,0.27049180327868855,217
139,15,22,121,0.12396694214876033,0.18181818181818182,140
476,20,28,120,0.16666666666666666,0.23333333333333334,477
554,19,34,115,0.16521739130434782,0.2956521739130435,555
90,12,20,115,0.10434782608695652,0.17391304347826086,91
27,13,18,114,0.11403508771929824,0.15789473684210525,28
218,12,22,105,0.11428571428571428,0.20952380952380953,219
533,28,44,104,0.2692307692307692,0.4230769230769231,534
63,3,17,103,0.02912621359223301,0.1650485436893204,64
88,9,15,103,0.08737864077669903,0.14563106796116504,89
560,8,16,101,0.07920792079207921,0.15841584158415842,561
225,11,17,101,0.10891089108910891,0.16831683168316833,226
17,9,17,100,0.09,0.17,18
524,7,12,100,0.07,0.12,525
56,12,17,95,0.12631578947368421,0.17894736842105263,57
380,18,28,94,0.19148936170212766,0.2978723404255319,381
367,30,54,93,0.3225806451612903,0.5806451612903226,368
508,8,12,93,0.08602150537634409,0.12903225806451613,509
468,1,3,93,0.010752688172043012,0.03225806451612903,469
559,6,9,91,0.06593406593406594,0.0989010989010989,560
461,8,9,91,0.08791208791208792,0.0989010989010989,462
291,16,26,89,0.1797752808988764,0.29213483146067415,292
20,26,39,88,0.29545454545454547,0.4431818181818182,21
41,15,21,88,0.17045454545454544,0.23863636363636365,42
596,20,29,88,0.22727272727272727,0.32954545454545453,597
159,13,19,87,0.14942528735632185,0.21839080459770116,160
579,24,30,87,0.27586206896551724,0.3448275862068966,580
293,36,46,87,0.41379310344827586,0.5287356321839081,294
595,2,8,82,0.024390243902439025,0.0975609756097561,596
516,10,16,80,0.125,0.2,517
274,1,2,80,0.0125,0.025,275
201,4,7,80,0.05,0.0875,202
513,2,4,79,0.02531645569620253,0.05063291139240506,514
44,8,11,79,0.10126582278481013,0.13924050632911392,45
155,6,12,79,0.0759493670886076,0.1518987341772152,156
566,22,32,77,0.2857142857142857,0.4155844155844156,567
390,2,3,77,0.025974025974025976,0.03896103896103896,391
356,14,18,76,0.18421052631578946,0.23684210526315788,357
102,4,10,75,0.05333333333333334,0.13333333333333333,103
338,11,19,74,0.14864864864864866,0.25675675675675674,339
61,13,22,73,0.1780821917808219,0.3013698630136986,62
198,6,11,72,0.08333333333333333,0.1527777777777778,199
124,9,12,72,0.125,0.16666666666666666,125
50,5,8,71,0.07042253521126761,0.11267605633802817,51
131,9,15,69,0.13043478260869565,0.21739130434782608,132
65,8,13,69,0.11594202898550725,0.18840579710144928,66
312,6,9,68,0.08823529411764706,0.1323529411764706,313
220,4,6,66,0.06060606060606061,0.09090909090909091,221
199,14,26,66,0.21212121212121213,0.3939393939393939,200
5,4,6,62,0.06451612903225806,0.0967741935483871,6
49,6,10,62,0.0967741935483871,0.16129032258064516,50
452,5,9,62,0.08064516129032258,0.14516129032258066,453
424,9,13,61,0.14754098360655737,0.21311475409836064,425
427,6,12,60,0.1,0.2,428
572,14,24,59,0.23728813559322035,0.4067796610169492,573
121,4,7,58,0.06896551724137931,0.1206896551724138,122
83,3,6,58,0.05172413793103448,0.10344827586206896,84
