,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,104,169,539,0.19294990723562153,0.313543599257885,414
598,29,62,495,0.05858585858585859,0.12525252525252525,599
473,42,81,421,0.0997624703087886,0.19239904988123516,474
447,56,102,372,0.15053763440860216,0.27419354838709675,448
273,33,61,269,0.12267657992565056,0.22676579925650558,274
609,82,109,260,0.3153846153846154,0.41923076923076924,610
67,18,35,252,0.07142857142857142,0.1388888888888889,68
379,35,54,243,0.1440329218106996,0.2222222222222222,380
605,20,34,223,0.08968609865470852,0.15246636771300448,606
287,26,45,211,0.12322274881516587,0.2132701421800948,288
248,39,56,209,0.18660287081339713,0.2679425837320574,249
386,17,38,205,0.08292682926829269,0.18536585365853658,387
181,18,35,195,0.09230769230769231,0.1794871794871795,182
306,20,37,195,0.10256410256410256,0.18974358974358974,307
602,16,42,188,0.0851063829787234,0.22340425531914893,603
297,23,40,187,0.12299465240641712,0.21390374331550802,298
176,22,32,180,0.12222222222222222,0.17777777777777778,177
317,21,33,175,0.12,0.18857142857142858,318
231,22,35,172,0.12790697674418605,0.20348837209302326,232
479,34,47,167,0.20359281437125748,0.281437125748503,480
607,14,23,166,0.08433734939759036,0.13855421686746988,608
599,11,21,152,0.07236842105263158,0.13815789473684212,600
589,15,34,145,0.10344827586206896,0.23448275862068965,590
482,29,43,145,0.2,0.296551724137931,483
104,16,25,144,0.1111111111111111,0.1736111111111111,105
18,24,40,140,0.17142857142857143,0.2857142857142857,19
304,31,40,135,0.22962962962962963,0.2962962962962963,305
488,24,36,129,0.18604651162790697,0.27906976744186046,489
110,34,44,129,0.26356589147286824,0.34108527131782945,111
437,14,20,127,0.11023622047244094,0.15748031496062992,438
216,35,51,122,0.28688524590163933,0.4180327868852459,217
139,17,32,121,0.14049586776859505,0.2644628099173554,140
476,20,33,120,0.16666666666666666,0.275,477
554,39,57,115,0.3391304347826087,0.4956521739130435,555
90,14,18,115,0.12173913043478261,0.1565217391304348,91
27,19,33,114,0.16666666666666666,0.2894736842105263,28
218,15,28,105,0.14285714285714285,0.26666666666666666,219
