,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
26,141,225,1343,0.10498883097542815,0.16753536857781087,274
42,93,153,1257,0.07398568019093078,0.12171837708830549,68
79,90,145,1052,0.08555133079847908,0.13783269961977188,288
39,181,260,1043,0.17353787152444872,0.24928092042186,249
13,76,134,974,0.07802874743326489,0.1375770020533881,182
3,71,122,936,0.07585470085470085,0.13034188034188035,298
64,60,103,901,0.06659267480577137,0.11431742508324085,177
23,96,156,859,0.11175785797438882,0.18160651920838183,232
11,95,156,809,0.11742892459826947,0.19283065512978986,414
73,45,75,743,0.06056527590847914,0.1009421265141319,599
57,53,92,719,0.0737134909596662,0.12795549374130738,105
104,54,89,700,0.07714285714285714,0.12714285714285714,19
29,112,161,674,0.1661721068249258,0.23887240356083086,305
52,44,74,643,0.06842923794712286,0.1150855365474339,111
135,25,53,632,0.03955696202531646,0.08386075949367089,474
7,40,66,610,0.06557377049180328,0.10819672131147541,217
17,61,108,605,0.10082644628099173,0.17851239669421487,140
46,66,112,572,0.11538461538461539,0.1958041958041958,91
139,56,98,567,0.09876543209876543,0.1728395061728395,28
119,84,141,559,0.15026833631484796,0.2522361359570662,448
88,83,120,525,0.1580952380952381,0.22857142857142856,219
75,25,43,515,0.04854368932038835,0.08349514563106795,89
113,54,75,514,0.10505836575875487,0.14591439688715954,64
37,35,57,504,0.06944444444444445,0.1130952380952381,226
111,86,128,499,0.17234468937875752,0.2565130260521042,18
8,62,101,473,0.13107822410147993,0.2135306553911205,57
105,36,65,443,0.08126410835214447,0.14672686230248308,292
9,82,117,440,0.18636363636363637,0.26590909090909093,21
82,28,46,437,0.06407322654462243,0.10526315789473684,42
118,47,90,434,0.10829493087557604,0.2073732718894009,160
1,33,48,434,0.07603686635944701,0.11059907834101383,294
5,48,74,400,0.12,0.185,202
140,21,40,400,0.0525,0.1,275
99,41,67,396,0.10353535353535354,0.1691919191919192,45
112,17,29,395,0.043037974683544304,0.07341772151898734,156
0,41,69,390,0.10512820512820513,0.17692307692307693,610
41,59,86,374,0.15775401069518716,0.22994652406417113,103
171,68,108,365,0.1863013698630137,0.2958904109589041,380
121,61,103,363,0.16804407713498623,0.2837465564738292,62
120,30,52,360,0.08333333333333333,0.14444444444444443,199
15,36,55,357,0.10084033613445378,0.15406162464985995,125
44,32,53,356,0.0898876404494382,0.14887640449438203,51
191,31,50,344,0.09011627906976744,0.14534883720930233,132
134,34,56,342,0.09941520467836257,0.16374269005847952,66
50,25,46,334,0.0748502994011976,0.1377245508982036,606
