,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
170,197,335,2695,0.07309833024118738,0.12430426716141002,414
564,311,422,2475,0.12565656565656566,0.1705050505050505,599
195,79,166,2105,0.03752969121140143,0.07885985748218527,474
228,198,322,1861,0.10639441160666309,0.17302525523911874,448
321,142,231,1343,0.10573343261355175,0.1720029784065525,274
543,167,249,1299,0.1285604311008468,0.19168591224018475,610
307,88,153,1257,0.07000795544948289,0.12171837708830549,68
556,287,381,1215,0.23621399176954733,0.3135802469135803,380
322,43,84,1112,0.03866906474820144,0.07553956834532374,606
206,102,152,1052,0.09695817490494296,0.1444866920152091,288
438,188,266,1043,0.18024928092042186,0.2550335570469799,249
268,52,107,1024,0.05078125,0.1044921875,387
256,75,137,974,0.07700205338809035,0.1406570841889117,182
333,53,119,972,0.05452674897119342,0.12242798353909465,307
165,76,121,940,0.08085106382978724,0.12872340425531914,603
506,85,124,936,0.09081196581196581,0.13247863247863248,298
483,53,109,901,0.058823529411764705,0.12097669256381798,177
364,88,134,876,0.1004566210045662,0.15296803652968036,318
261,99,163,859,0.11525029103608847,0.18975552968568102,232
327,55,93,833,0.06602641056422569,0.11164465786314526,480
289,81,130,828,0.09782608695652174,0.1570048309178744,608
371,48,81,760,0.06315789473684211,0.10657894736842105,600
325,64,106,725,0.08827586206896551,0.14620689655172414,483
380,83,138,725,0.11448275862068966,0.19034482758620688,590
500,57,90,719,0.07927677329624479,0.12517385257301808,105
181,47,92,700,0.06714285714285714,0.13142857142857142,19
525,103,157,674,0.15281899109792285,0.23293768545994065,305
427,82,119,645,0.12713178294573643,0.18449612403100776,489
582,44,70,643,0.06842923794712286,0.1088646967340591,111
273,85,131,632,0.13449367088607594,0.20727848101265822,438
166,63,98,610,0.10327868852459017,0.16065573770491803,217
149,107,154,605,0.1768595041322314,0.2545454545454545,140
342,38,73,597,0.06365159128978225,0.12227805695142378,477
207,51,91,575,0.08869565217391304,0.1582608695652174,555
288,72,113,572,0.1258741258741259,0.19755244755244755,91
367,52,95,567,0.09171075837742504,0.1675485008818342,28
339,76,120,525,0.14476190476190476,0.22857142857142856,219
524,115,153,517,0.22243713733075435,0.29593810444874274,534
587,18,27,515,0.03495145631067961,0.05242718446601942,89
311,50,72,514,0.09727626459143969,0.14007782101167315,64
269,27,58,504,0.05357142857142857,0.11507936507936507,226
554,124,181,502,0.24701195219123506,0.3605577689243028,561
518,88,126,499,0.17635270541082165,0.25250501002004005,18
541,68,102,497,0.13682092555331993,0.2052313883299799,525
182,50,94,473,0.10570824524312897,0.19873150105708245,57
316,46,84,471,0.09766454352441614,0.17834394904458598,381
189,92,130,466,0.19742489270386265,0.27896995708154504,368
486,79,118,464,0.17025862068965517,0.2543103448275862,509
179,42,73,462,0.09090909090909091,0.15800865800865802,469
537,47,82,455,0.10329670329670329,0.18021978021978022,560
